model,split,RMSE,MAE,Corr
LSTM_Base_Train,train,0.005667722648313809,0.0032472594175487757,0.6921510100364685
LSTM_Frozen_Test,frozen,0.005413476122475471,0.003255286021158099,0.6401162147521973
LSTM_WF_B_Test,wf,0.004930193687026566,0.003106282092630863,0.6000291705131531
