model,split,level,N,violations,viol_rate,kupiec_LR,kupiec_p,cc_LR,cc_p,ind_p,n00,n01,n10,n11,uc_pass,cc_pass,sigma_count,sigma_mean,sigma_median,sigma_std,var95_count,var95_mean,var95_median,var95_std
LSTM_Base,train,95,4025,311,0.077267,54.403,0.0,60.614,0.0,0.0127,3438,275,275,36,False,False,4025,0.008428832654210721,0.007382352836430073,0.0035762401521852887,4025,-0.013468157464070625,-0.01179110266928502,0.005714885716171125
GARCH,train,95,4025,233,0.057888,5.029,0.0249,5.0503,0.08,0.8838,3572,219,219,14,False,True,4025,0.010511245076828029,0.008239101618528366,0.007392430716420518,4025,-0.016792689674296736,-0.013166067190468311,0.01179864433187782
GK_Realized,train,95,4025,175,0.043478,3.7631,0.0524,4.1625,0.1248,0.5274,3680,169,169,6,True,True,4025,0.009267236398452002,0.007271103095263243,0.0074518001426696935,4025,-0.014806711378894884,-0.011624559760093689,0.011900300368512902
LSTM_Frozen,test_frozen,95,877,89,0.101482,38.1916,0.0,38.6899,0.0,0.4802,709,78,78,11,False,False,877,0.00813602294110212,0.007829263806343079,0.001659901309477979,877,-0.013132792742555034,-0.012580636248773121,0.0026957809148970622
LSTM_WF_B,test_wf,95,877,73,0.083238,17.146,0.0,17.8107,0.0001,0.4149,738,65,65,8,False,False,877,0.009172315146463966,0.008279703557491302,0.0030383410984054417,877,-0.014806648020921886,-0.013409783301055186,0.0049179622719574215
GARCH,test_wf,95,877,59,0.067275,4.9952,0.0254,6.0437,0.0487,0.3058,764,53,53,6,False,False,877,0.010946966118859966,0.009045479819178581,0.0045741804542935,877,-0.017664346419593063,-0.01451815454959278,0.007349800983532497
GK_Realized,test_wf,95,877,42,0.047891,0.0833,0.7729,1.8069,0.4052,0.1892,796,38,38,4,True,True,877,0.009730625981406575,0.008422691375017166,0.006079223322549728,877,-0.01570051647476503,-0.013541765902321735,0.009764168762308649
