metric,value
asset,BTCUSDT
group,crypto_hour
start,2022-08-01 00:00:00
end,2023-08-30 23:00:00
mae,0.004346622939188265
rmse,0.007572467566435418
R2_ret,-1.2572651811569475
R2_price,0.9987135390020192
mae_price,98.98523891494257
rmse_price,165.53641189955408
DA,0.5275872982382108
F1_Score,0.5316031812473838
Precision,0.5332773462103716
Recall,0.5299394950970164
avg_loss,0.14530337069596105
total_return,0.4542219553041331
ann_return,0.2698873975949452
max_drawdown,-0.49464698686033304
