timestamp,ln_true,ln_pred,ret_true,ret_pred,price_true,price_pred,train_loss
2022-08-01 01:00:00,10.0612943976,10.0462321890,0.0018737547,-0.0131884539,23418.8000000000,23068.7043761034,0.0884513706
2022-08-01 02:00:00,10.0613490530,10.0480411369,0.0000546554,-0.0132532607,23420.0800000000,23110.4722261884,0.0415990017
2022-08-01 03:00:00,10.0594488779,10.0496117313,-0.0019001752,-0.0117373217,23375.6200000000,23146.7979236565,0.0438003689
2022-08-01 04:00:00,10.0601664623,10.0512076406,0.0007175844,-0.0082412372,23392.4000000000,23183.7676063853,0.1084065288
2022-08-01 05:00:00,10.0573869151,10.0527889952,-0.0027795472,-0.0073774671,23327.4700000000,23220.4583650936,0.0075799581
2022-08-01 06:00:00,10.0529316021,10.0541349147,-0.0044553130,-0.0032520004,23223.7700000000,23251.7322749852,0.0037049127
2022-08-01 07:00:00,10.0571545440,10.0549831177,0.0042229419,0.0020515156,23322.0500000000,23271.4628306807,0.0145750381
2022-08-01 08:00:00,10.0556831796,10.0557607358,-0.0014713643,-0.0013938081,23287.7600000000,23289.5661801706,0.0023169192
2022-08-01 09:00:00,10.0567132333,10.0563738533,0.0010300536,0.0006906736,23311.7600000000,23303.8497977409,0.0005999118
2022-08-01 10:00:00,10.0448720908,10.0571142992,-0.0118411424,0.0004010660,23037.3500000000,23321.1114286737,0.1696213335
2022-08-01 11:00:00,10.0531046856,10.0555408479,0.0082325948,0.0106687571,23227.7900000000,23284.4456483008,0.0052593173
2022-08-01 12:00:00,10.0493218901,10.0552889364,-0.0037827955,0.0021842508,23140.0900000000,23278.5807685628,0.0441436470
2022-08-01 13:00:00,10.0538380207,10.0546976465,0.0045161306,0.0053757564,23244.8300000000,23264.8204456368,0.0017516870
2022-08-01 14:00:00,10.0620887427,10.0529705543,0.0082507220,-0.0008674664,23437.4100000000,23224.6746345574,0.0342575386
2022-08-01 15:00:00,10.0573551923,10.0518444750,-0.0047335504,-0.0102442677,23326.7300000000,23198.5365276268,0.0403599776
2022-08-01 16:00:00,10.0518618670,10.0531423213,-0.0054933254,-0.0042128710,23198.9400000000,23228.6642093360,0.0024396211
2022-08-01 17:00:00,10.0416695518,10.0530958594,-0.0101923151,0.0012339924,22963.6900000000,23227.5849864897,0.0226787981
2022-08-01 18:00:00,10.0412196100,10.0520911749,-0.0004499418,0.0104216231,22953.3600000000,23204.2603117054,0.0317815579
2022-08-01 19:00:00,10.0412296303,10.0521675701,0.0000100203,0.0109479601,22953.5900000000,23206.0330734111,0.0673553422
2022-08-01 20:00:00,10.0484048787,10.0513908170,0.0071752484,0.0101611867,23118.8800000000,23188.0147140468,0.0192541797
2022-08-01 21:00:00,10.0440791507,10.0510007419,-0.0043257281,0.0025958632,23019.0900000000,23178.9714102289,0.0435065255
2022-08-01 22:00:00,10.0503887324,10.0505423491,0.0063095818,0.0064631984,23164.7900000000,23168.3487707519,0.0055446378
2022-08-01 23:00:00,10.0548347348,10.0497677480,0.0044460024,-0.0006209844,23268.0100000000,23150.4094912912,0.0056985645
2022-08-02 00:00:00,10.0513750883,10.0489806576,-0.0034596465,-0.0058540773,23187.6500000000,23132.1951950128,0.0007643906
2022-08-02 01:00:00,10.0431251394,10.0487449287,-0.0082499490,-0.0026301597,22997.1400000000,23126.7429106694,0.0169810113
2022-08-02 02:00:00,10.0394575319,10.0485100981,-0.0036676075,0.0053849587,22912.9500000000,23121.3126823319,0.0728565753
2022-08-02 03:00:00,10.0368424921,10.0477098218,-0.0026150398,0.0082522899,22853.1100000000,23102.8166448703,0.0733949542
2022-08-02 04:00:00,10.0372436699,10.0467647325,0.0004011778,0.0099222404,22862.2800000000,23080.9927359301,0.0193408970
2022-08-02 05:00:00,10.0368249889,10.0458894745,-0.0004186811,0.0086458046,22852.7100000000,23060.7997499480,0.0177017376
2022-08-02 06:00:00,10.0377837151,10.0450652124,0.0009587263,0.0082402235,22874.6300000000,23041.7994376139,0.0308758244
2022-08-02 07:00:00,10.0383592965,10.0442269651,0.0005755813,0.0064432499,22887.8000000000,23022.4928044269,0.0315681547
2022-08-02 08:00:00,10.0349429167,10.0429213722,-0.0034163798,0.0045620757,22809.7400000000,22992.4544160836,0.0328546911
2022-08-02 09:00:00,10.0306081901,10.0418413326,-0.0043347266,0.0068984158,22711.0800000000,22967.6350586685,0.0548402593
2022-08-02 10:00:00,10.0370638817,10.0405085856,0.0064556915,0.0099003955,22858.1700000000,22937.0454023840,0.0042833705
2022-08-02 11:00:00,10.0381325124,10.0398404903,0.0010686308,0.0027766087,22882.6100000000,22921.7263876243,0.0024151576
