metric,value
asset,BTCUSDT
group,crypto_hour
start,2022-08-01 00:00:00
end,2023-08-31 23:00:00
mae,0.004336417865058128
rmse,0.007585538552318226
R2_ret,-1.2623793969496342
R2_price,0.9987023850344201
mae_price,98.70837060845797
rmse_price,166.14810610731507
DA,0.525097337682837
F1_Score,0.530250963240654
Precision,0.5304166666666666
Recall,0.530085363314595
avg_loss,0.14622603861080888
total_return,-0.23458278961288503
ann_return,-0.1564530172218429
max_drawdown,-0.6719507689684626
