DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,yz_vol_10,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.005475637836589947,0.005475637836589947,2.9982609717495434e-05,-0.008876635953176596,-0.011795287087081012,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.005596385935434899,0.005596385935434899,3.131953553833355e-05,-0.009072382448374374,-0.012055395321701298,1226.3237012068842,1222.6710125365605,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.005138374984967052,0.005138374984967052,2.640289748613515e-05,-0.008329894250432597,-0.011068775897440849,1234.6723554686848,1231.2953607197292,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.004353054625409048,0.004353054625409048,1.8949084571795104e-05,-0.007056800019869775,-0.009377086386053241,1238.975872817094,1236.1044265684145,1
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.004548928419757515,0.004548928419757515,2.0692749768077605e-05,-0.007374333870187665,-0.009799025839706895,1228.9041537920045,1225.9280492854207,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.004489698685764603,0.004489698685764603,2.0157394288956408e-05,-0.007278315688936658,-0.009671436737325187,1220.8319847152648,1217.9138790787792,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.004631277872690437,0.004631277872690437,2.1448734734072057e-05,-0.007507831763299609,-0.00997641803908084,1218.070515599471,1215.0673118006753,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.0053784362948519245,0.0053784362948519245,2.8927576977780497e-05,-0.008719061123385942,-0.01158590141835664,1223.5352778466372,1220.0326207879475,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.005466936871028526,0.005466936871028526,2.9887398751811166e-05,-0.008862530691646378,-0.011776543994532788,1222.864162047414,1219.3059065314415,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.005534942211099798,0.005534942211099798,3.063558528021432e-05,-0.008972775135252714,-0.011923036975539505,1227.436925459618,1223.8210017207507,0
2005-08-15,0.005266368258391552,1237.5,1231.0,99.99994261441516,10.0,0.0,0.005629809889286429,0.005629809889286429,3.169475938950727e-05,-0.00912656650497381,-0.012127395176883405,1219.816308611949,1216.1613355752888,0
2005-08-16,-0.01301360374505034,1221.5,1237.5,99.9995455235726,10.0,0.0,0.00588531607220621,0.00588531607220621,3.463694526976873e-05,-0.009540771285722623,-0.0126777911070021,1225.7494393736781,1221.9102640194417,1
2005-08-17,0.0,1221.5,1221.5,99.9997491039291,10.0,0.0,0.0060322913560075025,0.0060322913560075025,3.638853900376283e-05,-0.009779035051032453,-0.012994396353528247,1209.6131244991209,1205.7300273931646,0
2005-08-18,-0.0004094165870904831,1221.0,1221.5,99.99999831459697,10.0,0.0,0.006032311986086186,0.006032311986086186,3.638878789747907e-05,-0.009779068494752366,-0.012994440793593125,1209.6130840451592,1205.7299738104452,0
2005-08-19,0.002249719734015443,1223.75,1221.0,99.45683865522396,10.0,0.0,0.005846060628668604,0.005846060628668604,3.4176424874069154e-05,-0.009477133716573088,-0.012593229410250966,1209.4830796294834,1205.7200805909326,0
2005-08-22,0.00020426922755145682,1224.0,1223.75,99.99675722449626,10.0,0.0,0.006043217682754671,0.006043217682754671,3.652047996115874e-05,-0.009796747877872818,-0.013017933184238434,1211.8197639599,1207.9225481392407,0
2005-08-23,-0.0020445723744764166,1221.5,1224.0,99.95099396405736,10.0,0.0,0.006110328877336534,0.006110328877336534,3.7336118989212746e-05,-0.009905542809251442,-0.013162500051236162,1211.9354671222031,1207.9946661195158,0
2005-08-24,-0.009459252107008709,1210.0,1221.5,99.9999150791108,10.0,0.0,0.005837874993500152,0.005837874993500152,3.40807844397344e-05,-0.009463863864620805,-0.012575596411195256,1209.9944197861562,1206.2350928124083,0
2005-08-25,0.0028883865758695393,1213.5,1210.0,99.83265051801952,10.0,0.0,0.005679422392536733,0.005679422392536733,3.225583871284767e-05,-0.009206994053913571,-0.012234267423808799,1198.9106652499509,1195.2867230196596,0
2005-08-26,-0.006199647879524761,1206.0,1213.5,93.77486480088828,10.0,0.0,0.0055999779603665804,0.0055999779603665804,3.1359753156591444e-05,-0.009078205532114537,-0.012063133044055763,1202.5334511949516,1198.949327847792,0
2005-08-29,0.007023371155096214,1214.5,1206.0,99.99763513514154,10.0,0.0,0.006546004998269712,0.006546004998269712,4.285018143737205e-05,-0.010611823690936708,-0.014101007139680313,1193.2698053820434,1189.1135233591265,0
2005-08-30,-0.004952548298689408,1208.5,1214.5,99.92426425138989,10.0,0.0,0.00660300502711075,0.00660300502711075,4.3599675388049836e-05,-0.010704227264811047,-0.014223793146391567,1201.5690473839918,1197.3474793616788,0
2005-08-31,0.010699690554257124,1221.5,1208.5,99.99866645522394,10.0,0.0,0.006965648539635522,0.006965648539635522,4.852025957772648e-05,-0.011292113925238604,-0.01500497781713689,1194.9302401502073,1190.5018528950268,0
2005-09-01,0.00020464545246934307,1221.75,1221.5,99.99953237382074,10.0,0.0,0.007149246595032467,0.007149246595032467,5.1111726876583316e-05,-0.011589747397010502,-0.015400473618112915,1207.4248448511098,1202.8324351003926,0
