DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,sma_vol_5,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.004822419661233487,0.004822419661233487,2.32557313890513e-05,-0.007817694490340804,-0.010388164092688995,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.005305261481069112,0.005305261481069112,2.814579938251563e-05,-0.008600436370932257,-0.011428272670460945,1226.9025964602702,1223.438017701556,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.005207567981433947,0.005207567981433947,2.7118764281256033e-05,-0.008442064021055807,-0.011217827255857694,1234.5338703208458,1231.1118481503402,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.005673012100144114,0.005673012100144114,3.2183066288381536e-05,-0.009196602235896963,-0.012220458760537132,1236.3275439593187,1232.594713465173,0
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.005320680800691854,0.005320680800691854,2.830964418285091e-05,-0.00862543285372046,-0.011461488034052445,1227.3676344236658,1223.8916834101422,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.005252236126664016,0.005252236126664016,2.7585984330234622e-05,-0.008514476199462016,-0.011314048666469505,1219.3237728138276,1215.9149613848112,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.005149056994154344,0.005149056994154344,2.6512787929049768e-05,-0.008347211010531387,-0.011091786434074406,1217.048521467349,1213.712819642596,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.004846374703856751,0.004846374703856751,2.3487347770182613e-05,-0.007856528357545939,-0.010439766593321256,1224.5910723771733,1221.431744301243,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.004383924569127655,0.004383924569127655,1.921879462780109e-05,-0.007106843733581817,-0.009443584547434521,1225.013014512354,1222.1538185048641,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.00419782828692606,0.00419782828692606,1.762176232651658e-05,-0.00680516035008545,-0.009042707217721775,1230.1004215609878,1227.351091240639,0
2005-08-15,0.005266368258391552,1237.5,1231.0,99.99994261441516,10.0,0.0,0.004428838985777361,0.004428838985777361,1.9614614761941442e-05,-0.007179655146160013,-0.009540336461009212,1222.1934961746988,1219.31168967684,0
2005-08-16,-0.01301360374505034,1221.5,1237.5,99.9995455235726,10.0,0.0,0.006743124833126264,0.006743124833126264,4.54697325151241e-05,-0.010931377515603389,-0.014525630738259836,1224.0460891861962,1219.6544546366088,1
2005-08-17,0.0,1221.5,1221.5,99.9997491039291,10.0,0.0,0.0067651254999657445,0.0067651254999657445,4.576692303028676e-05,-0.010967043115865735,-0.01457302324105555,1208.176947615662,1203.8281311400744,0
2005-08-18,-0.0004094165870904831,1221.0,1221.5,99.99999831459697,10.0,0.0,0.006223312875641885,0.006223312875641885,3.872962314813007e-05,-0.010088702808400601,-0.013405883331144213,1209.2386043069812,1205.2339872524003,0
2005-08-19,0.002249719734015443,1223.75,1221.0,99.45683865522396,10.0,0.0,0.006250424112911808,0.006250424112911808,3.906780159126936e-05,-0.01013265322854657,-0.013464284714951558,1208.6904996755782,1204.670288998394,0
2005-08-22,0.00020426922755145682,1224.0,1223.75,99.99675722449626,10.0,0.0,0.005487450033160919,0.005487450033160919,3.011210786643777e-05,-0.008895784876443073,-0.011820732204863021,1212.9120607172238,1209.3695401942055,0
2005-08-23,-0.0020445723744764166,1221.5,1224.0,99.95099396405736,10.0,0.0,0.001374835476353425,0.001374835476353425,1.8901725870399491e-06,-0.0022287657407783737,-0.002961587238792184,1221.2750285228249,1220.380379775891,0
2005-08-24,-0.009459252107008709,1210.0,1221.5,99.9999150791108,10.0,0.0,0.004025737777708795,0.004025737777708795,1.6206564654871746e-05,-0.006526181928409963,-0.00867200027512315,1213.5542247633816,1210.9529497730914,1
2005-08-25,0.0028883865758695393,1213.5,1210.0,99.83265051801952,10.0,0.0,0.004461183202044123,0.004461183202044123,1.9902155562200657e-05,-0.007232088824492849,-0.009610010410941353,1201.2807397583078,1198.4275819930058,0
2005-08-26,-0.006199647879524761,1206.0,1213.5,93.77486480088828,10.0,0.0,0.0044222770442748525,0.0044222770442748525,1.9556534256320326e-05,-0.007169017487570802,-0.009526201124418193,1204.8315066951461,1201.9948421654624,0
2005-08-29,0.007023371155096214,1214.5,1206.0,99.99763513514154,10.0,0.0,0.005960230137624028,0.005960230137624028,3.552434329344174e-05,-0.009662215564239874,-0.012839166445334161,1194.4034822757803,1190.61494226962,0
2005-08-30,-0.004952548298689408,1208.5,1214.5,99.92426425138989,10.0,0.0,0.0061190630444116975,0.0061190630444116975,3.744293254148495e-05,-0.00991970189423737,-0.01318131466447257,1202.512078653771,1198.596339185939,0
2005-08-31,0.010699690554257124,1221.5,1208.5,99.99866645522394,10.0,0.0,0.0065912332039902415,0.0065912332039902415,4.3444355149383466e-05,-0.01068514379153097,-0.014198434998649057,1195.6557472761474,1191.462430936464,0
2005-09-01,0.00020464545246934307,1221.75,1221.5,99.99953237382074,10.0,0.0,0.0065974973855767475,0.0065974973855767475,4.3526971752692016e-05,-0.010695298747199595,-0.014211928918879629,1208.505307510484,1204.2629051355912,0
2005-09-02,-0.0016383374543176288,1219.75,1221.75,99.75948293425334,10.0,0.0,0.005750829165160586,0.005750829165160586,3.3072036086861605e-05,-0.009322752609188648,-0.012388087564620889,1210.4128558076823,1206.7082158522655,0
2005-09-06,0.011817578443025667,1234.25,1219.75,99.50481470233744,10.0,0.0,0.00677274368151001,0.00677274368151001,4.587005697543377e-05,-0.010979393060513602,-0.014589433865913836,1206.431135633511,1202.0837218968957,0
2005-09-07,0.0010122482896921525,1235.5,1234.25,99.99418938073124,10.0,0.0,0.005661167992264077,0.005661167992264077,3.2048823036635286e-05,-0.0091774015807443,-0.012194944901347643,1222.9746106258453,1219.2897941010583,0
2005-09-08,-0.00283688133519977,1232.0,1235.5,95.94728388409116,10.0,0.0,0.00523070871305665,0.00523070871305665,2.7360313640846756e-05,-0.008479577796881568,-0.01126767561709717,1225.067774574656,1221.6569228863448,0
