DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,gk_vol_20,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.006834863144496097,0.006834863144496097,4.671535420399108e-05,-0.011080095823367934,-0.0147232478473134,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.006694026551120667,0.006694026551120667,4.480999146710845e-05,-0.010851783578185222,-0.01441986619556701,1224.1435197114042,1219.783457654099,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.006627715680556222,0.006627715680556222,4.3926615142290823e-05,-0.010744286063684634,-0.01427702333805089,1231.6949683774387,1227.351390529091,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.005157269029027136,0.005157269029027136,2.6597423837762494e-05,-0.008360523659427457,-0.011109476301772819,1237.36164316618,1233.964865537128,0
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.0051598000536658755,0.0051598000536658755,2.6623536593810373e-05,-0.008364626740196694,-0.011114928481615488,1227.687781152562,1224.315908269519,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.005242178939820483,0.005242178939820483,2.7480440037097402e-05,-0.008498172347931413,-0.011292384084251306,1219.3436526496457,1215.9413039598119,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.005202727895686259,0.005202727895686259,2.7068377556551973e-05,-0.008434217687816365,-0.011207401036552508,1216.942634725895,1213.5725048288077,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.005595181111562443,0.005595181111562443,3.1306051671185134e-05,-0.00907042929091169,-0.01205279996315329,1223.105442017893,1219.4631222920523,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.005584399593257122,0.005584399593257122,3.1185518817170303e-05,-0.0090529512151377,-0.012029575070010049,1222.6313257826234,1218.997423276147,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.005638390904210624,0.005638390904210624,3.17914519886851e-05,-0.009140477312785434,-0.012145879879040485,1227.2310988737001,1223.5483122799437,0
2005-08-15,0.005266368258391552,1237.5,1231.0,99.99994261441516,10.0,0.0,0.005690823308694204,0.005690823308694204,3.238546993077725e-05,-0.009225476244533683,-0.012258826586256414,1219.6956628651712,1216.0015042805856,0
2005-08-16,-0.01301360374505034,1221.5,1237.5,99.9995455235726,10.0,0.0,0.0059024020940391785,0.0059024020940391785,3.483835047971808e-05,-0.009568469683649126,-0.01271459677945715,1225.715488548142,1221.8652916181195,1
2005-08-17,0.0,1221.5,1221.5,99.9997491039291,10.0,0.0,0.005759693571170193,0.005759693571170193,3.3174070033779257e-05,-0.009337122826401084,-0.012407182730674616,1210.1477854538168,1206.4382564112466,0
2005-08-18,-0.0004094165870904831,1221.0,1221.5,99.99999831459697,10.0,0.0,0.005404127579724115,0.005404127579724115,2.920459489793482e-05,-0.0087607096380952,-0.011641244026788207,1210.845531672894,1207.3626681418493,0
2005-08-19,0.002249719734015443,1223.75,1221.0,99.45683865522396,10.0,0.0,0.005369104972109087,0.005369104972109087,2.882728820152652e-05,-0.008703933980681897,-0.011565800448581305,1210.4186132577868,1206.959508924652,0
2005-08-22,0.00020426922755145682,1224.0,1223.75,99.99675722449626,10.0,0.0,0.005466718959887369,0.005466718959887369,2.9885016186392036e-05,-0.008862177432733367,-0.011776074583562572,1212.9528242760048,1209.4235489670864,0
2005-08-23,-0.0020445723744764166,1221.5,1224.0,99.95099396405736,10.0,0.0,0.005548227570879749,0.005548227570879749,3.07828291782702e-05,-0.008994312224774148,-0.011951655492201167,1213.040323099086,1209.458245793254,0
2005-08-24,-0.009459252107008709,1210.0,1221.5,99.9999150791108,10.0,0.0,0.0057537314207676705,0.0057537314207676705,3.310542526232916e-05,-0.009327457497867552,-0.012394339427711046,1210.1594819862626,1206.453751162782,1
2005-08-25,0.0028883865758695393,1213.5,1210.0,99.83265051801952,10.0,0.0,0.005715986505847029,0.005715986505847029,3.2672501735025334e-05,-0.009266268668578066,-0.012313031620136307,1198.8396023883836,1195.1925809291017,0
2005-08-26,-0.006199647879524761,1206.0,1213.5,93.77486480088828,10.0,0.0,0.0057139055756823,0.0057139055756823,3.264871692781327e-05,-0.00926289524249191,-0.01230854900652422,1202.3113761482507,1198.65512264735,0
2005-08-29,0.007023371155096214,1214.5,1206.0,99.99763513514154,10.0,0.0,0.00620687079942621,0.00620687079942621,3.852524512076976e-05,-0.010062048320058505,-0.013370464807301093,1193.926016099572,1189.982538513475,0
2005-08-30,-0.004952548298689408,1208.5,1214.5,99.92426425138989,10.0,0.0,0.006335580788055793,0.006335580788055793,4.013958392198166e-05,-0.010270701950320111,-0.013647724062235004,1202.090070913426,1198.037432938914,0
2005-08-31,0.010699690554257124,1221.5,1208.5,99.99866645522394,10.0,0.0,0.00662237020430012,0.00662237020430012,4.3855787122802016e-05,-0.010735620434558345,-0.014265508437149925,1195.5953961109835,1191.3825181344198,0
2005-09-01,0.00020464545246934307,1221.75,1221.5,99.99953237382074,10.0,0.0,0.0067245084464570915,0.0067245084464570915,4.5219013846472765e-05,-0.010901198221033987,-0.014485528446647406,1208.2565025188292,1203.9334644429018,0
2005-09-02,-0.0016383374543176288,1219.75,1221.75,99.75948293425334,10.0,0.0,0.006652989260303837,0.006652989260303837,4.42622660977182e-05,-0.01078525743055518,-0.01433146615142494,1208.6439150277313,1204.3654021693756,0
2005-09-06,0.011817578443025667,1234.25,1219.75,99.50481470233744,10.0,0.0,0.006628049094946255,0.006628049094946255,4.393103480501787e-05,-0.010744826566590452,-0.014277741559117872,1206.7141571475408,1202.4584605436783,0
2005-09-07,0.0010122482896921525,1235.5,1234.25,99.99418938073124,10.0,0.0,0.0065931127249827,0.0065931127249827,4.34691354043288e-05,-0.010688190710285334,-0.014202483748831929,1221.1283488856627,1216.8444778280275,0
2005-09-08,-0.00283688133519977,1232.0,1235.5,95.94728388409116,10.0,0.0,0.006273875142189908,0.006273875142189908,3.9361509299788444e-05,-0.010170670032404187,-0.01351480150058963,1222.9978227061529,1218.9147881090805,0
2005-09-09,0.008084118399959372,1242.0,1232.0,99.99790352318426,10.0,0.0,0.006257772337861271,0.006257772337861271,3.9159714632501716e-05,-0.010144565542641298,-0.013480113815678452,1219.5650753474922,1215.5039339983814,0
2005-09-12,-0.001410011312265702,1240.25,1242.0,99.99930241291628,10.0,0.0,0.006179351325890418,0.006179351325890418,3.8184382808783674e-05,-0.01001743610217807,-0.013311184025677643,1229.6204535416844,1225.577056347187,0
2005-09-13,-0.0010083695520162195,1239.0,1240.25,99.99874316846768,10.0,0.0,0.006134785132618267,0.006134785132618267,3.7635588623394135e-05,-0.009945189199570253,-0.013215182233793114,1227.9766108438305,1223.9676940174606,0
2005-09-14,-0.0036385728439078946,1234.5,1239.0,99.99910977297796,10.0,0.0,0.006026892500930843,0.006026892500930843,3.632343321777643e-05,-0.009770282888725583,-0.012982766467207934,1226.953563872919,1223.018320034846,0
2005-09-15,-0.0008103728158230794,1233.5,1234.5,99.99905338990904,10.0,0.0,0.0059822539846122605,0.0059822539846122605,3.578736273640927e-05,-0.009697918742177725,-0.012886608881401102,1222.5857842380997,1218.693545872533,0
2005-09-16,0.007068594513018667,1242.25,1233.5,99.997920015283,10.0,0.0,0.0060081568039399395,0.0060081568039399395,3.609794818072979e-05,-0.009739910178462326,-0.012942407164533182,1221.544139813781,1217.638405776512,0
2005-09-19,-0.0034270772378883763,1238.0,1242.25,99.99887353863464,10.0,0.0,0.006052497071989718,0.006052497071989718,3.6632720806444105e-05,-0.009811790830413782,-0.013037922281999563,1230.1209042230487,1226.1587671087293,0
2005-09-20,-0.008517593575866123,1227.5,1238.0,99.99949763914312,10.0,0.0,0.006101205628144569,0.006101205628144569,3.722471011690296e-05,-0.009890752977600044,-0.013142847300890418,1225.8156035714374,1221.8356107693996,0
2005-09-21,-0.009412797142562823,1216.0,1227.5,99.99109375434656,10.0,0.0,0.006158903062119813,0.006158903062119813,3.793208692858881e-05,-0.0099842871250574,-0.013267135615464148,1215.3052667167515,1211.3221452259193,0
2005-09-22,0.003079136169834129,1219.75,1216.0,95.131256632114,10.0,0.0,0.006085189564681757,0.006085189564681757,3.702953203811175e-05,-0.00986478910471343,-0.013108346467894052,1204.0633893220013,1200.1642675807918,0
2005-09-23,0.0006146911370681352,1220.5,1219.75,99.9532166483076,10.0,0.0,0.006175112346736324,0.006175112346736324,3.8132012494815384e-05,-0.010010564231560081,-0.013302052673756486,1207.6005272765594,1203.6322584364002,0
2005-09-26,0.0008190008647801506,1221.5,1220.5,94.04939878854483,10.0,0.0,0.006282511968257498,0.006282511968257498,3.94699566312987e-05,-0.010184671316470235,-0.013533406427728467,1208.1326940337397,1204.0937441232659,0
2005-09-27,0.00020464545246934307,1221.75,1221.5,99.99892923940034,10.0,0.0,0.005888279637290277,0.005888279637290277,3.4671837086927315e-05,-0.009545575564084318,-0.012684175039250912,1209.8955531251106,1206.1041285710055,0
2005-09-28,0.0008181632692023655,1222.75,1221.75,99.98010093461144,10.0,0.0,0.005789811473267539,0.005789811473267539,3.3521916895980425e-05,-0.009385947394528117,-0.012472060889585145,1210.3363664439776,1206.6068888055627,0
2005-09-29,0.0073335020046059185,1231.75,1222.75,99.99323666571676,10.0,0.0,0.005808273271089803,0.005808273271089803,3.373603839165624e-05,-0.009415876082874577,-0.01251183017527495,1211.2907715206034,1207.5464699830009,0
2005-09-30,0.002027575714899754,1234.25,1231.75,99.99905982750926,10.0,0.0,0.005632530916612812,0.005632530916612812,3.172540452659916e-05,-0.009130977601857089,-0.012133256648997576,1220.554110833285,1216.8951621413075,0
2005-10-03,-0.002027575714899754,1231.75,1234.25,99.9999231018972,10.0,0.0,0.005634144046520998,0.005634144046520998,3.1743579136948004e-05,-0.00913359267015917,-0.012136731555655695,1223.0281889848063,1219.3607751053416,0
2005-10-04,-0.012252552710508624,1216.75,1231.75,99.9999940121184,10.0,0.0,0.005798029815963658,0.005798029815963658,3.3617149746803574e-05,-0.009399270269128117,-0.012489764345214182,1220.2266890397382,1216.4614069736372,1
2005-10-05,-0.013237008168630382,1200.75,1216.75,99.99976763984684,10.0,0.0,0.005946165726075502,0.005946165726075502,3.5356886841955e-05,-0.00963941554259168,-0.012808869742579795,1205.0775891295395,1201.2641972810325,1
2005-10-06,-0.0031279349869608453,1197.0,1200.75,99.99855815213354,10.0,0.0,0.006514613875010542,0.006514613875010542,4.244019394047987e-05,-0.010560935085508693,-0.014033386284927353,1188.13568392554,1184.01709568163,0
2005-10-07,0.0025031302181188764,1200.0,1197.0,99.99792601699347,10.0,0.0,0.006531489711662934,0.006531489711662934,4.266035785355876e-05,-0.010588292749188993,-0.01406973918920811,1184.3926763815912,1180.2764460900178,0
2005-10-10,-0.00836824967051708,1190.0,1200.0,95.37236775682044,10.0,0.0,0.006702597139376276,0.006702597139376276,4.492480841277504e-05,-0.010865677483173101,-0.014438328437226701,1187.0317689171432,1182.79848526062,0
2005-10-11,-0.0012612993053258137,1188.5,1190.0,99.99615592701676,10.0,0.0,0.006799768091315686,0.006799768091315686,4.623684609567497e-05,-0.01102320272339734,-0.014647648211261298,1176.9544228779446,1172.6963369920097,0
2005-10-12,-0.00844956442406275,1178.5,1188.5,99.70705650195316,10.0,0.0,0.006982476511370614,0.006982476511370614,4.875497823184234e-05,-0.011319393994406908,-0.015041227613714436,1175.1227542291333,1170.757271694698,0
2005-10-13,-0.0004243581646541372,1178.0,1178.5,99.9092156184916,10.0,0.0,0.00712016617199835,0.00712016617199835,5.0696766316869644e-05,-0.011542604701247594,-0.015337830333707022,1164.9752459645267,1160.5622814448222,0
