DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,ewma_vol,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.005233666694976227,0.005233666694976227,2.7391267074103385e-05,-0.008484373024294294,-0.011274047522431498,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.005285675443000751,0.005285675443000751,2.7938364888741183e-05,-0.008568685160409142,-0.011386081614585947,1226.9415527213525,1223.4896369322478,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.005153072375547956,0.005153072375547956,2.655415490763546e-05,-0.008353720403575257,-0.011100436125254727,1234.6429383265126,1231.2563782452028,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.005352879278742365,0.005352879278742365,2.865331657278938e-05,-0.008677630273716142,-0.01153084804355398,1236.9693298107322,1233.4450171448427,0
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.005442104008770768,0.005442104008770768,2.961649604227886e-05,-0.008822273778293836,-0.011723050548058502,1227.126062020162,1223.5716010871517,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.005299809472819573,0.005299809472819573,2.8087980448188085e-05,-0.008591598041245535,-0.011416528284797833,1219.2297399447784,1215.790361268244,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.005323873788323806,0.005323873788323806,2.8343632114001275e-05,-0.008630609052303652,-0.011468366174446007,1216.7036611682981,1213.2558460329915,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.005162641256940284,0.005162641256940284,2.6652864747861955e-05,-0.008369232656053174,-0.011121048829471672,1223.963380194442,1220.599887947834,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.0050930986812631075,0.0050930986812631075,2.5939654177084004e-05,-0.008256496177499477,-0.010971244428711996,1223.6054845465492,1220.2882085191702,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.005157225315391015,0.005157225315391015,2.6596972953709953e-05,-0.008360452794617619,-0.011109382136507867,1228.1887426645424,1224.817174816481,0
