DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,sma_vol_10_predict,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.004831138740673271,0.004831138740673271,2.3339901531634123e-05,-0.007831829116542087,-0.010406946205055903,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.004613461525145688,0.004613461525145688,2.1284027243999582e-05,-0.007478949423764075,-0.0099380391432508,1228.2793235540835,1225.2625852321858,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.004671270644796028,0.004671270644796028,2.18207694369331e-05,-0.0075726646264899855,-0.010062568044335285,1235.6076400200027,1232.5349233053985,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.004657660800970458,0.004657660800970458,2.1693804136896763e-05,-0.007550601511173649,-0.010033250543813205,1238.3642157144309,1235.2936051935058,1
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.0050467692872688645,0.0050467692872688645,2.5469880238920283e-05,-0.008181390924615497,-0.010871444456719528,1227.9127581357116,1224.6140459290143,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.0051763690264460364,0.0051763690264460364,2.6794796297949886e-05,-0.008391486942400857,-0.011150620358345185,1219.4737457611047,1216.11369254848,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.005163719223745796,0.005163719223745796,2.6663996221681885e-05,-0.008370980163683829,-0.011123370920216313,1217.0195935984452,1213.6744857522451,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.005489119113162408,0.005489119113162408,3.0130428638484862e-05,-0.008898490646253294,-0.011824327635820362,1223.3157591901745,1219.7417676998693,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.005333062153070147,0.005333062153070147,2.8441551928509194e-05,-0.008645504443725133,-0.011488159192771595,1223.1295844689948,1219.6575865307288,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.005126962123329025,0.005126962123329025,2.628574061405046e-05,-0.008311392694820615,-0.011044191002763172,1228.248999204911,1224.8970246394592,0
2005-08-15,0.005266368258391552,1237.5,1231.0,99.99994261441516,10.0,0.0,0.0048387534792385676,0.0048387534792385676,2.341353523284334e-05,-0.007844173479726785,-0.01042334941325761,1221.3815959804838,1218.2354968780444,0
2005-08-16,-0.01301360374505034,1221.5,1237.5,99.9995455235726,10.0,0.0,0.005134920936740762,0.005134920936740762,2.636741302657862e-05,-0.008324294842731705,-0.011061335396140806,1227.2414420007194,1223.887025086806,1
2005-08-17,0.0,1221.5,1221.5,99.9997491039291,10.0,0.0,0.0060017134792146815,0.0060017134792146815,3.6020564686587194e-05,-0.00972946481125195,-0.012928527345013006,1209.6730867979045,1205.80945025033,0
2005-08-18,-0.0004094165870904831,1221.0,1221.5,99.99999831459697,10.0,0.0,0.0058859292807859325,0.0058859292807859325,3.46441634984132e-05,-0.009541765367049402,-0.012679112043751014,1209.9001630743421,1206.1102350862398,0
2005-08-19,0.002249719734015443,1223.75,1221.0,99.45683865522396,10.0,0.0,0.005578164162715988,0.005578164162715988,3.111591542620896e-05,-0.009042842868205933,-0.012016143083538492,1210.0084611381544,1206.4160859715628,0
2005-08-22,0.00020426922755145682,1224.0,1223.75,99.99675722449626,10.0,0.0,0.005368802941835961,0.005368802941835961,2.8824045028266472e-05,-0.008703444355023411,-0.011565149833276417,1213.1453752926225,1209.6786732322075,0
2005-08-23,-0.0020445723744764166,1221.5,1224.0,99.95099396405736,10.0,0.0,0.005346306705238575,0.005346306705238575,2.8582995386478952e-05,-0.008666975379435374,-0.011516689804150328,1213.4374608870871,1209.9844330597116,0
2005-08-24,-0.009459252107008709,1210.0,1221.5,99.9999150791108,10.0,0.0,0.004975761602741297,0.004975761602741297,2.4758203527314643e-05,-0.008066279336844426,-0.010718484007291203,1211.6866715229191,1208.4772883254248,1
