DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,rs_vol_20,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.00760923746905006,0.00760923746905006,5.7900494860395355e-05,-0.012335445277749189,-0.01639135807365861,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.007485903260060243,0.007485903260060243,5.603874761898057e-05,-0.012135506401868857,-0.016125678997337717,1222.5730669643717,1217.7045090693096,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.0074529334227910965,0.0074529334227910965,5.554621660455661e-05,-0.01208205852025075,-0.016054657372568223,1230.0483424248466,1225.1715469810372,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.0049958127391840105,0.0049958127391840105,2.4958144924993248e-05,-0.008098784525091185,-0.010761676949889344,1237.68555151942,1234.394112359165,0
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.005042074892224039,0.005042074892224039,2.5422519218796055e-05,-0.008173780772688564,-0.01086133207549448,1227.922102773911,1224.6264297557152,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.0051469986897894025,0.0051469986897894025,2.6491595512693825e-05,-0.008343874263457588,-0.011087352559588618,1219.5318095553168,1216.190635818835,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.005087987047993003,0.005087987047993003,2.5887612200544556e-05,-0.008248209634631055,-0.010960233258195595,1217.1690169100207,1213.8724979214871,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.005529060164546231,0.005529060164546231,3.0570506303172e-05,-0.0089632396642311,-0.011910366227431354,1223.236553260371,1219.636827350572,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.005481375951388587,0.005481375951388587,3.0045482320461136e-05,-0.008885938094341721,-0.011807647786128037,1222.8355383085363,1219.267982084434,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.0055275945514599075,0.0055275945514599075,3.0554301525329254e-05,-0.008960863737589536,-0.011907209092568222,1227.4515460360192,1223.8403723696415,0
2005-08-15,0.005266368258391552,1237.5,1231.0,99.99994261441516,10.0,0.0,0.005573819245795628,0.005573819245795628,3.1067460984801736e-05,-0.009035799260337802,-0.012006783526903335,1219.9270330022416,1216.3080276468231,0
2005-08-16,-0.01301360374505034,1221.5,1237.5,99.9995455235726,10.0,0.0,0.00572276567558095,0.00572276567558095,3.275004697760749e-05,-0.00927725847900539,-0.012327634896614769,1226.0724826099251,1222.338198404493,1
2005-08-17,0.0,1221.5,1221.5,99.9997491039291,10.0,0.0,0.005584891857223776,0.005584891857223776,3.119101705688444e-05,-0.009053749231397222,-0.012030635475205316,1210.4907579746498,1206.8926229654621,0
2005-08-18,-0.0004094165870904831,1221.0,1221.5,99.99999831459697,10.0,0.0,0.005208778362450651,0.005208778362450651,2.7131372029134084e-05,-0.00844402618728567,-0.01122043458526896,1211.2290471375566,1207.8708446671822,0
2005-08-19,0.002249719734015443,1223.75,1221.0,99.45683865522396,10.0,0.0,0.005201265066189966,0.005201265066189966,2.705315828876811e-05,-0.008431846273692992,-0.011204249897930276,1210.7479980915148,1207.395964695375,0
2005-08-22,0.00020426922755145682,1224.0,1223.75,99.99675722449626,10.0,0.0,0.005303377322614708,0.005303377322614708,2.812581102602395e-05,-0.00859738193432104,-0.011424213930538678,1213.2740512515113,1209.8491724024873,0
2005-08-23,-0.0020445723744764166,1221.5,1224.0,99.95099396405736,10.0,0.0,0.005414885981278825,0.005414885981278825,2.9320990190249945e-05,-0.00877815023896933,-0.011664419123228648,1213.302564646494,1209.805696085991,0
2005-08-24,-0.009459252107008709,1210.0,1221.5,99.9999150791108,10.0,0.0,0.005606178808530849,0.005606178808530849,3.142924083322037e-05,-0.009088257817053347,-0.012076490535267506,1210.448986371386,1206.8372821005864,1
2005-08-25,0.0028883865758695393,1213.5,1210.0,99.83265051801952,10.0,0.0,0.005580563513676675,0.005580563513676675,3.114268913017936e-05,-0.009046732490864977,-0.012021311619926135,1199.102819944214,1195.541293369785,0
2005-08-26,-0.006199647879524761,1206.0,1213.5,93.77486480088828,10.0,0.0,0.005589086957166534,0.005589086957166534,3.123789301476906e-05,-0.009060549968788986,-0.012039672305189425,1202.5546827878777,1198.9774564148436,0
2005-08-29,0.007023371155096214,1214.5,1206.0,99.99763513514154,10.0,0.0,0.00614294231692334,0.00614294231692334,3.7735740309047494e-05,-0.009958412929415066,-0.01323275394572366,1194.0497555004297,1190.1464233182155,0
2005-08-30,-0.004952548298689408,1208.5,1214.5,99.92426425138989,10.0,0.0,0.006330820873865117,0.006330820873865117,4.0079292936966276e-05,-0.0102629855843551,-0.013637470543637824,1202.0993467161238,1198.0497171009906,0
2005-08-31,0.010699690554257124,1221.5,1208.5,99.99866645522394,10.0,0.0,0.006568588005877125,0.006568588005877125,4.314634839095283e-05,-0.010648433332268224,-0.014149654085656029,1195.6996411534274,1191.5205529792536,0
2005-09-01,0.00020464545246934307,1221.75,1221.5,99.99953237382074,10.0,0.0,0.006698808051446509,0.006698808051446509,4.4874029310124576e-05,-0.010859534937747184,-0.014430166213707983,1208.3068435004548,1204.0001187328521,0
2005-09-02,-0.0016383374543176288,1219.75,1221.75,99.75948293425334,10.0,0.0,0.006652418045669023,0.006652418045669023,4.425466585434286e-05,-0.010784331426221858,-0.014330235675486419,1208.6450342377523,1204.366884112936,0
2005-09-06,0.011817578443025667,1234.25,1219.75,99.50481470233744,10.0,0.0,0.006563514996232751,0.006563514996232751,4.307972910577221e-05,-0.010640209402719933,-0.014138726115812758,1206.8404067640874,1202.6256324590966,0
2005-09-07,0.0010122482896921525,1235.5,1234.25,99.99418938073124,10.0,0.0,0.00654358249556702,0.00654358249556702,4.281847187629111e-05,-0.010607896536652747,-0.014095788731213532,1221.2264023138425,1216.9743159974478,0
2005-09-08,-0.00283688133519977,1232.0,1235.5,95.94728388409116,10.0,0.0,0.006178853951653316,0.006178853951653316,3.81782361558618e-05,-0.01001662980158497,-0.01331011261224757,1223.1862280836854,1219.1643119585506,0
