DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,rs_vol_5,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.003718848129038338,0.003718848129038338,1.3829831406851947e-05,-0.006028678665713827,-0.008010917198018878,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.0038863656671147156,0.0038863656671147156,1.5103838098528009e-05,-0.0063002437775150225,-0.008371773323405439,1229.7279569163682,1227.183175824839,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.003741502234637272,0.003741502234637272,1.39988389717957e-05,-0.006065403565031089,-0.008059717298977873,1237.4714275573851,1235.0059805486048,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.003792019327973397,0.003792019327973397,1.4379410583723813e-05,-0.006147297558085365,-0.00816853815902868,1240.1032370160572,1237.599221465482,1
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.00435905990778292,0.00435905990778292,1.9001403279640442e-05,-0.007066535270267945,-0.009390022601294776,1229.2824669891268,1226.4295603804785,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.0048298408945258615,0.0048298408945258615,2.3327363066434375e-05,-0.00782972515931964,-0.010404150463562325,1220.1589919614873,1217.021823712719,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.004868817799990456,0.004868817799990456,2.3705386769503903e-05,-0.007892911186357187,-0.01048811215048193,1217.6015520079902,1214.4457280562042,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.006525439900510203,0.006525439900510203,4.2581365895170605e-05,-0.010578485312541264,-0.014056707052770553,1221.2623206054498,1217.0218783257408,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.006716411566457409,0.006716411566457409,4.511018433004287e-05,-0.01088807225137371,-0.014468086638595801,1220.3897067673097,1216.028505299011,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.006567198040970352,0.006567198040970352,4.3128090109324825e-05,-0.01064618003998825,-0.014146659907515392,1225.3846441160476,1221.1027086261709,0
2005-08-15,0.005266368258391552,1237.5,1231.0,99.99994261441516,10.0,0.0,0.006423975226075665,0.006423975226075665,4.126745770523389e-05,-0.010413999456474516,-0.013838138002028164,1218.2468873805421,1214.082574915659,0
2005-08-16,-0.01301360374505034,1221.5,1237.5,99.9995455235726,10.0,0.0,0.00669256510203675,0.00669256510203675,4.479042764500017e-05,-0.010849414401868384,-0.014416718030545436,1224.146419926675,1219.787297739759,1
2005-08-17,0.0,1221.5,1221.5,99.9997491039291,10.0,0.0,0.005514127337897245,0.005514127337897245,3.0405600298545753e-05,-0.00893903184226209,-0.011878198837512063,1210.6296302793587,1207.0766116419152,0
2005-08-18,-0.0004094165870904831,1221.0,1221.5,99.99999831459697,10.0,0.0,0.005386317509949002,0.005386317509949002,2.901241631798322e-05,-0.00873183747554312,-0.011602878654148947,1210.8804919065963,1207.4089899490943,0
2005-08-19,0.002249719734015443,1223.75,1221.0,99.45683865522396,10.0,0.0,0.005170383312792963,0.005170383312792963,2.6732863601207935e-05,-0.008381783415139935,-0.011137726296855714,1210.8086131145546,1207.4762876945274,0
2005-08-22,0.00020426922755145682,1224.0,1223.75,99.99675722449626,10.0,0.0,0.005837687206897573,0.005837687206897573,3.4078591925575586e-05,-0.009463559441034417,-0.012575191892679857,1212.2235955650583,1208.4574637341796,0
2005-08-23,-0.0020445723744764166,1221.5,1224.0,99.95099396405736,10.0,0.0,0.0058038184196240765,0.0058038184196240765,3.368430824796771e-05,-0.009408654258519708,-0.012502233804306546,1212.5378136171873,1208.792527595541,0
2005-08-24,-0.009459252107008709,1210.0,1221.5,99.9999150791108,10.0,0.0,0.006223436202562812,0.006223436202562812,3.873115816736943e-05,-0.010088902735461697,-0.01340614899452103,1209.238362547485,1205.233667065912,0
2005-08-25,0.0028883865758695393,1213.5,1210.0,99.83265051801952,10.0,0.0,0.00600572604178442,0.00600572604178442,3.606874528896756e-05,-0.009735969634659534,-0.012937170964053819,1198.276638491658,1194.4468469609487,0
