DATE,ret_true,sigma_lstm_wf,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2022-01-03,0.005762497,0.006363991,0.006186043,8.195933,-0.010257627352677729,-0.01593608369486438,0,0
2022-01-04,-0.00036571667,0.0065145227,0.0064620697,8.265491,-0.010503352744136805,-0.016303369283194147,0,0
2022-01-05,-0.019363783,0.006793393,0.008638585,8.160969,-0.01094809238893923,-0.017016473428051234,1,1
2022-01-06,-0.0010660982,0.007607469,0.0080839,7.2326293,-0.012200208423882716,-0.019226284995057744,0,0
2022-01-07,-0.0042222342,0.0085240705,0.0069747576,7.123908,-0.013660478450608662,-0.02156807822725229,0,0
2022-01-10,-0.0011789927,0.008841145,0.016614271,6.9758267,-0.01415410432323915,-0.022407191441864,0,0
2022-01-11,0.0091276085,0.009923077,0.010839752,7.0404606,-0.015893450885540113,-0.02513103657477554,0,0
2022-01-12,0.0023882193,0.01010935,0.006471696,7.342129,-0.016223554441562565,-0.025519858923386565,0,0
2022-01-13,-0.013716757,0.009496619,0.0109671,7.363493,-0.01524220716143224,-0.023967786835746935,0,0
2022-01-14,0.00059096894,0.009632408,0.009303108,7.451891,-0.015468215695232747,-0.02428851511052611,0,0
2022-01-18,-0.018101513,0.009753413,0.0114238085,7.3444724,-0.015652566308171807,-0.024620738237569433,1,0
2022-01-19,-0.010334873,0.010472489,0.011109728,6.668181,-0.016726070475867546,-0.02663753822809903,0,0
2022-01-20,-0.011001334,0.011482703,0.023462562,7.0754256,-0.018395882382064684,-0.029069648558761575,0,0
2022-01-21,-0.019121258,0.014322924,0.01424319,7.57697,-0.02301671430534623,-0.036070763270545356,0,0
2022-01-24,0.0031272236,0.015981022,0.035095066,8.206373,-0.02575973058556938,-0.04001452932288875,0,0
2022-01-25,-0.012510517,0.020768043,0.019793717,9.107139,-0.03358612119096921,-0.05163694237167631,0,0
2022-01-26,-0.0017260232,0.021568643,0.024141645,10.302752,-0.034965238246190515,-0.05331747883816344,0,0
2022-01-27,-0.0054854774,0.022089027,0.025549112,10.049522,-0.03580884298906315,-0.054603867270845916,0,0
2022-01-28,0.024140287,0.022348298,0.023705536,10.184022,-0.03622914811695359,-0.055244778383880054,0,0
2022-01-31,0.018146675,0.021091452,0.013839379,8.905646,-0.03408703694745363,-0.052517538681483636,0,0
2022-02-01,0.006803688,0.018314121,0.011266878,8.660896,-0.02957330311874259,-0.04568662468628667,0,0
2022-02-02,0.009273297,0.015723217,0.007077817,8.770387,-0.02539943915850171,-0.03919035166161438,0,0
2022-02-03,-0.02393371,0.013179901,0.008441929,8.397188,-0.021261353303780015,-0.032948089575941086,1,0
2022-02-04,0.0052446695,0.012498635,0.014395354,8.371882,-0.020160318388978447,-0.03125152679220506,0,0
2022-02-07,-0.0037354042,0.013190941,0.007602334,8.111682,-0.021253648938329445,-0.03305557283979969,0,0
2022-02-08,0.008177388,0.013034474,0.009874161,8.271888,-0.02101601968463789,-0.03261856182330119,0,0
2022-02-09,0.014356287,0.012605241,0.006808479,8.561801,-0.02034727513935883,-0.031469658600618226,0,0
2022-02-10,-0.017685924,0.011641676,0.012177775,9.03856,-0.018822880916391976,-0.028959626115932526,0,0
2022-02-11,-0.019760383,0.012163463,0.016334744,9.375885,-0.019686519702879445,-0.03018680631273052,1,0
2022-02-14,-0.0035213304,0.014305413,0.011650509,9.995941,-0.023190489736362,-0.0353636980709553,0,0
2022-02-15,0.015917253,0.015677564,0.009524022,10.381424,-0.025415125148292854,-0.038754788047555076,0,0
2022-02-16,0.0012311826,0.014981334,0.009678362,10.962486,-0.024286458400573776,-0.03703371682209569,0,0
2022-02-17,-0.02159618,0.013828912,0.011675964,11.381083,-0.022418249556386115,-0.03418493927869949,0,0
2022-02-18,-0.007111753,0.013705591,0.013963175,11.6509695,-0.022218331251312055,-0.03388008964704257,0,0
2022-02-22,-0.010065452,0.014452757,0.022853067,12.369239,-0.02342957427215943,-0.03572707903911225,0,0
2022-02-23,-0.018306073,0.016572168,0.017774988,11.951322,-0.026865381917017327,-0.04096624257939414,0,0
2022-02-24,0.014578203,0.01803885,0.030106924,12.290946,-0.029243040115591302,-0.044591864684247536,0,0
2022-02-25,0.022161571,0.020504056,0.019941658,13.17257,-0.033239421145584425,-0.050685830339382495,0,0
2022-02-28,-0.0027434858,0.019452507,0.0196207,14.794937,-0.03153474100516053,-0.04808641297883323,0,0
2022-03-01,-0.014818503,0.018732233,0.01803507,14.578156,-0.03036709359768365,-0.046305901274601734,0,0
2022-03-02,0.017961452,0.01867689,0.016730048,14.428886,-0.03027737714394757,-0.046169095253437854,0,0
2022-03-03,-0.0051481635,0.017639536,0.0123818,14.183635,-0.028595707628120665,-0.04360476612770526,0,0
2022-03-04,-0.007367788,0.016392829,0.014164938,14.092148,-0.026574651655319605,-0.04052291642595742,0,0
2022-03-07,-0.030204918,0.015973909,0.016786285,14.13844,-0.025895534392235603,-0.03948735018590591,1,0
2022-03-08,-0.007111088,0.017226692,0.022750646,12.287894,-0.027926439763109098,-0.04258421894943157,0,0
2022-03-09,0.025226349,0.019617364,0.016554842,12.260054,-0.03180199307015053,-0.04849393791028747,0,0
2022-03-10,-0.0042191683,0.019061549,0.0121294325,11.963861,-0.030900952917027207,-0.04711996788445124,0,0
2022-03-11,-0.0131818075,0.01749785,0.021194331,12.22976,-0.028366020002668624,-0.04325452212183862,0,0
2022-03-14,-0.007046067,0.017797722,0.014343059,12.387569,-0.02885214307908356,-0.043995797117793216,0,0
2022-03-15,0.01940541,0.017307134,0.01896964,12.528977,-0.02805684680637974,-0.04278307287174647,0,0
2022-03-16,0.022259949,0.016918674,0.01542654,13.136791,-0.027427108196562747,-0.041822802709533285,0,0
2022-03-17,0.011998087,0.015421565,0.012754351,12.769742,-0.02500012198430054,-0.03812196174566818,0,0
2022-03-18,0.011631321,0.013921902,0.01296528,13.128077,-0.022568996830466162,-0.03441480942970724,0,0
2022-03-21,-0.0002807175,0.012729259,0.009165275,13.0785885,-0.02063558615262914,-0.03146660749911448,0,0
2022-03-22,0.011778304,0.011696739,0.011052804,12.722407,-0.018961753955611203,-0.02891422927378196,0,0
2022-03-23,-0.012845751,0.011052709,0.007612301,13.024182,-0.01791770763201712,-0.027322193281567472,0,0
2022-03-24,0.014509183,0.010652291,0.007154818,13.360471,-0.01726858250345772,-0.026332361178562805,0,0
2022-03-25,0.005304466,0.010124795,0.0066016247,12.991947,-0.01641345219245507,-0.025028397740941347,0,0
2022-03-28,0.006919683,0.009652716,0.00864411,13.070541,-0.01564815818219161,-0.023861423075706774,0,0
2022-03-29,0.0125090005,0.009414794,0.0068160472,13.118995,-0.015262458454452512,-0.023273280734824674,0,0
2022-03-30,-0.0063981134,0.008904508,0.0073569035,13.46723,-0.01443522717538495,-0.02201185972274972,0,0
2022-03-31,-0.014298871,0.008804921,0.009951601,12.889313,-0.014273784822266865,-0.021765680955559575,1,0
