DATE,ES1_LN_RET,ES1_CLOSE,ES1_LOW,ES1_VOLUME,VIX_LN_RET,VIX_CLOSE,gk_vol_daily,garch_vol,shape,gk_daily_VaR_ret_95,gk_daily_VaR_price_95
2006-01-03,0.0158137314002226,1274.75,1251.5,1149130,-0.0351486938036549,12.02,0.0109364650773986,0.0058112735552188,99.99884001442403,-0.0177292622346175,1232.7002486885615
2006-01-04,0.0045005457043147,1280.5,1270.75,902220,-0.015088299651202,11.84,0.0056621968153873,0.0074298257378075,99.99986195318426,-0.0091790694208386,1263.102519551656
2006-01-05,0.0005855372471383,1281.25,1275.75,761183,-0.0008449514655639,11.83,0.0041288270085346,0.0070278355094816,99.99999981666038,-0.0066933013764163,1271.9578470803283
2006-01-06,0.0081617242805753,1291.75,1280.25,899355,-0.0230878147460642,11.56,0.0048341333645817,0.0066102311115439,99.99979500298689,-0.0078366837448147,1271.2484894751217
2006-01-09,0.0025128069663438,1295.0,1290.25,774670,0.1394610094809225,13.29,0.0035284651892901,0.0067270015506309,99.99993189654776,-0.0057200461194655,1284.3822225274546
2006-01-10,0.0007719027785819,1296.0,1289.25,895506,-0.0189903162266471,13.04,0.0040146594097517,0.0064275231358267,99.99999527228758,-0.0065082226253579,1286.599218431111
2006-01-11,0.0028893403516052,1299.75,1293.5,836995,-0.0154562582366915,12.84,0.0036114836834979,0.0061548216511225,99.98998983706136,-0.0058546286050965,1288.4345693310029
2006-01-12,-0.004820215637741,1293.5,1290.5,761246,0.0116145324206931,12.99,0.0041511713366508,0.0059776898554076,99.99984225679226,-0.0067295240909613,1291.0326657164092
2006-01-13,-0.0005799903497534,1292.75,1287.75,761246,-0.0030840425369618,12.95,0.0043643697946637,0.0059583803487574,99.99983467656624,-0.0070751432049414,1284.3806008332092
2006-01-16,0.0015458940276698,1294.75,1288.75,716681,0.0,12.95,0.0034252254872481,0.0057583593471129,99.7889521004418,-0.0055526827403871,1285.5916617702514
2006-01-17,-0.0040630799826013,1289.5,1283.5,782532,0.0107527917762619,13.09,0.0062510627514474,0.0056283382197378,99.99959911657238,-0.0101336885347438,1281.695662777448
2006-01-18,-0.0044690640786306,1283.75,1275.25,1172080,0.0136572684223077,13.27,0.0067430132558927,0.0056303277194874,97.10166311465228,-0.010931196636131,1275.4809838441452
2006-01-19,0.003499225965565,1288.25,1280.25,949592,-0.0121305505685076,13.11,0.0064320345440132,0.0056622333440756,99.98433138764348,-0.0104270645337309,1270.433800986673
