name,mean,median,std,min,max
GK_Realized_VaR_price_train,1976.8313030321776,1790.1273808879967,885.3835099030026,641.6721224282146,4751.0694828442665
GARCH_VaR_price_train,1973.1832414934202,1784.2407244692904,884.00996301092,649.8865308591843,4726.768054992971
LSTM_GK_VaR_price_train,1978.2481288279505,1790.129683275857,885.357469802827,651.4407088781828,4740.696897429928
GK_Realized_VaR_price_test,4720.236472708504,4490.131479018459,759.3830923994861,3387.378222283692,6187.365066144067
GARCH_VaR_price_test,4711.06970220561,4471.718544360556,758.0917869533988,3492.18120384551,6125.107266331681
LSTM_GK_Frozen_VaR_price_test,4724.736119400134,4480.1094931697835,757.5741961730284,3486.2211211310423,6164.930999009285
LSTM_GK_WalkFwd_VaR_price_test,4723.145729070784,4479.204154226019,757.6742857459474,3488.835453736739,6162.493986018629
