model,split,RMSE,MAE,Corr
LSTM_Base_Train,train,0.004135513859870113,0.00268355431035161,0.832387387752533
LSTM_Frozen_Test,frozen,0.004235592425716869,0.002762353513389826,0.7201001644134521
LSTM_WF_B_Test,wf,0.004244692643905439,0.002841194858774543,0.7165760397911072
