model,split,target,RMSE,MAE,Corr
LSTM_GK_Train,train,VaR_ret_95,0.006956435957065113,0.004313698313257525,0.8230198338112372
LSTM_GK_Frozen,frozen,VaR_ret_95,0.007006377986359372,0.004587045724860111,0.70621332066904
LSTM_GK_WalkFwd,wf,VaR_ret_95,0.006960714244092723,0.004611539765045047,0.7063503788259456
