DATE,ES1_CLOSE,ES1_LN_RET,gk_VaR_ret_95,garch_VaR_ret_95,lstm_VaR_ret_95,gk_VaR_price_95,garch_VaR_price_95,lstm_VaR_price_95,sigma_implied,gk_vol_daily,garch_vol,viol_gk_ret,viol_garch_ret,viol_lstm_ret
2006-01-31,1283.5,-0.0038880298,-0.0100414119952016,-0.010051017803525587,-0.00765459654775911,1275.6263834582971,1275.6141300946165,1278.6747046584035,0.004721811134514454,0.0061941410849498,0.0062000665197415,0,0,0
2006-02-01,1287.25,0.0029174385,-0.0071577728037119,-0.010004761991170794,-0.008447158393477573,1274.3457995336103,1270.7229104313694,1272.703735277804,0.0052107104938151514,0.0044153406534255,0.0061715331792251,0,0,0
2006-02-02,1272.0,-0.011917695,-0.0095117974168512,-0.009944855564976422,-0.008161355021115368,1275.0639860995361,1274.5119287960592,1276.7870497508818,0.0050344099484524165,0.0058674432639147,0.0061345793269262,1,1,1
2006-02-03,1265.5,-0.005123164,-0.0106322257432592,-0.010118332022598889,-0.00863619670410478,1258.5474508517673,1259.1943766952404,1261.062056889281,0.005327320584810824,0.0065585901994912,0.0062415899399699,0,0,0
2006-02-06,1268.75,0.0025648628,-0.0053740853110937,-0.01008967713103107,-0.009259594733148586,1258.7173366685508,1252.7957124466773,1253.8360678463375,0.005711869624908194,0.0033150559538218,0.0062239138958807,0,0,0
2006-02-07,1257.5,-0.00890654,-0.0091896461532773,-0.010025377025989558,-0.00814257543906538,1257.1440454273265,1256.0938502385127,1258.461053520816,0.005022825583545409,0.0056687211740109,0.0061842497607377,0,0,1
2006-02-08,1268.25,0.008512374,-0.0093786755830472,-0.010097220716035278,-0.008522899412169441,1245.7614475350388,1244.8666332307798,1246.8279967950673,0.00525743206603223,0.0057853257867647,0.0062285672284822,0,0,0
2006-02-09,1265.75,-0.0019731657,-0.0111262894329433,-0.010142996495765418,-0.00880407221057646,1254.217294163804,1255.4511636990258,1257.1332435884865,0.005430876197536395,0.0068633581146327,0.0062568044562802,0,0,0
2006-02-10,1268.25,0.0019731657,-0.0143880549301482,-0.010095302182022559,-0.009486732798042848,1247.6687087038483,1253.0361542978167,1253.7989458205836,0.005851981913935859,0.0088754093764835,0.0062273837624162,0,0,0
2006-02-13,1265.75,-0.0019731657,-0.0076765112431208,-0.010026518051045664,-0.010877013122169422,1258.5515374209633,1255.5974052148217,1254.5299797947428,0.006709589636772541,0.0047353294240706,0.0061849536129631,0,0,0
2006-02-14,1278.25,0.009827123,-0.0134093849943491,-0.009960418515572835,-0.009597721741056215,1248.8903622591895,1253.2051798076366,1253.6597957230397,0.005920446505591173,0.0082717074607733,0.0061441794819381,0,0,0
2006-02-15,1282.25,0.0031243924,-0.0093487813521607,-0.010042496051688275,-0.010615296438506774,1266.3556059118498,1265.4774210532903,1264.7527626591186,0.006548147195842292,0.0057668852443564,0.006194809795568,0,0,0
2006-02-16,1291.75,0.0073815407,-0.0071605128613352,-0.009999185167968822,-0.00995056017319236,1273.1012264293088,1269.4924337475477,1269.5541643113193,0.00613809826909696,0.0044170308841927,0.0061680930624631,0,0,0
2006-02-17,1289.0,-0.0021311643,-0.0051259819595903,-0.010016798028792814,-0.008971109946832,1285.1454546554194,1278.875389979431,1280.2133941786462,0.005533915023686728,0.0031620110271128,0.0061789577242164,0,0,0
2006-02-20,1288.75,-0.00019396761,-0.0028656233064474,-0.010004661873686184,-0.007904133547051901,1285.3114990092931,1276.1682863534568,1278.8517313279233,0.0048757404205823085,0.001767687160425,0.0061714714207966,0,0,0
2006-02-21,1285.25,-0.0027195043,-0.0097279320239028,-0.009940355170838789,-0.006760706134221464,1276.27390927244,1276.0028279452738,1280.066526251351,0.004170406278446183,0.0060007679646697,0.0061318032157339,0,0,0
2006-02-22,1292.25,0.005431633,-0.0096658849893766,-0.009890319522858156,-0.007753355144142311,1272.8867683621813,1272.6011206699516,1275.3235317448655,0.004782731319807267,0.0059624936576358,0.0061009382474389,0,0,0
