model,split,RMSE,MAE,Corr
LSTM_Base_Train,train,0.005799838236397654,0.0032482193782925606,0.6700467467308044
LSTM_Frozen_Test,frozen,0.0055884611886975934,0.0033298830967396498,0.6247266530990601
LSTM_WF_B_Test,wf,0.005770644438547725,0.003487209090963006,0.5646714568138123
