DATE,ret_true,sigma_lstm,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2006-04-07,-0.010299538,0.0054348228,0.0105918655,13.930543,-0.008810469722271516,-0.013434830035018313,1,0
2006-04-10,0.0011496457,0.0054418496,0.004531402,10.904232,-0.008821861095517762,-0.01345220041006675,0,0
2006-04-11,-0.008847913,0.005457728,0.008362449,10.2246685,-0.008847602037403902,-0.013491452026618748,1,0
2006-04-12,0.0011585249,0.005492674,0.0030550507,10.469483,-0.008904253378176498,-0.013577838014940322,0,0
2006-04-13,-0.0009653442,0.0055086403,0.0052924724,10.438926,-0.008930136954876197,-0.013617307131187301,0,0
2006-04-17,-0.00096627703,0.005508258,0.0069474517,9.807637,-0.008925359327154363,-0.013632242053495704,0,0
2006-04-18,0.01573023,0.005509707,0.00802397,9.355814,-0.00891692989681128,-0.013675623255901272,0,0
2006-04-19,0.0013314314,0.0054865447,0.0055916766,9.765155,-0.008889228883892951,-0.013582079120355377,0,0
2006-04-20,0.0013296611,0.0054806154,0.0068917735,9.627382,-0.008876468539260326,-0.013579190659644766,0,0
2006-04-21,0.0,0.005468853,0.0064369617,9.22296,-0.008847365695562135,-0.013586541137750457,0,0
2006-04-24,-0.0019000575,0.0054774233,0.0050459555,8.566933,-0.00884178136492178,-0.01367412418554915,0,0
2006-04-25,-0.0038109801,0.0054768636,0.006315087,8.559127,-0.008840619510979983,-0.013673574107070478,0,0
2006-04-26,-0.00038189805,0.0054758713,0.0047139158,8.23882,-0.008827746529663205,-0.013707117647099379,0,0
2006-04-27,0.0045731785,0.0054664374,0.010828418,7.8919215,-0.008798740254003394,-0.013725493531898935,0,0
2006-04-28,0.00076016726,0.005458447,0.006014178,7.9480476,-0.008788235118659397,-0.013698420089241744,0,0
2006-05-01,-0.005906467,0.005451938,0.006779907,7.9733305,-0.008778797830322559,-0.01367895876790791,0,0
2006-05-02,0.00742507,0.005466934,0.0034911097,7.810586,-0.008796026292933306,-0.013737079011127947,0,0
2006-05-03,-0.004372215,0.005459519,0.005110102,8.290017,-0.008803270829910418,-0.013660271736027583,0,0
2006-05-04,0.0036132017,0.0054624383,0.0040654507,8.445618,-0.008813498334634882,-0.013650001896849376,0,0
2006-05-05,0.009070357,0.0054557715,0.005693964,8.260038,-0.008796128682283034,-0.013654346753365935,0,0
2006-05-08,-0.0013176473,0.0054452745,0.0020587381,8.093008,-0.00877286537644042,-0.013647709125838616,0,0
2006-05-09,0.0015057409,0.0054433425,0.0026719884,7.846329,-0.008759620277933887,-0.013673252320794938,0,0
2006-05-10,-0.0011290931,0.005467433,0.004884879,7.3984785,-0.00877713912020715,-0.013793864657977639,0,0
2006-05-11,-0.012123656,0.005468848,0.010018196,7.451393,-0.008782132356353178,-0.013789996795267455,1,0
2006-05-12,-0.013430747,0.00548594,0.0065826103,6.536117,-0.008751917562257759,-0.01397662395261357,1,0
2006-05-15,0.0023152626,0.005528022,0.0063950876,6.1870046,-0.008789181614189267,-0.014148078464352783,0,0
2006-05-16,-0.0017359441,0.0055317585,0.0052299057,5.6869354,-0.00877668872349262,-0.014194371265195299,0,0
2006-05-17,-0.020281507,0.0055214176,0.011790671,5.596186,-0.008760281732510818,-0.014167836551628775,1,1
2006-05-18,-0.0047393455,0.0056151976,0.008570783,5.0726495,-0.008909073016544164,-0.014408473857238263,0,0
2006-05-19,0.006117434,0.0056575807,0.008995352,5.0227447,-0.008976317972137183,-0.014517227841282834,0,0
2006-05-22,-0.0069095134,0.0056886952,0.009564246,5.266889,-0.009025684628159364,-0.0145970675924437,0,0
2006-05-23,-0.0075562103,0.005795096,0.012732847,5.598076,-0.009194499643906602,-0.0148700888974197,0,0
2006-05-24,0.006763503,0.005811977,0.010683961,5.7054253,-0.009221283613301117,-0.01491340610024173,0,0
2006-05-25,0.0118251275,0.0058740275,0.0075672087,6.0242233,-0.009322382581901637,-0.01506747507628879,0,0
2006-05-26,0.0052760257,0.0058124308,0.0039261887,5.89476,-0.00922200298004668,-0.014914569518358066,0,0
2006-05-29,-0.002146133,0.0057511553,0.0015931552,5.665034,-0.009124783505191407,-0.014757338316047188,0,0
2006-05-30,-0.015748357,0.005736223,0.0079611065,5.646084,-0.009101092360370893,-0.01471902307941589,1,1
2006-05-31,0.009478744,0.005879811,0.007821167,5.516491,-0.00932890902221169,-0.015087466621216572,0,0
2006-06-01,0.010751741,0.005870269,0.010167176,5.8151054,-0.009313769745456973,-0.015062982157689024,0,0
