model,split,level,N,violations,viol_rate,kupiec_LR,kupiec_p,cc_LR,cc_p,ind_p,n00,n01,n10,n11,uc_pass,cc_pass
LSTM_Base,train,95,4025,367,0.09118,116.7884,0.0,124.6232,0.0,0.0051,3339,318,318,49,False,False
GARCH,train,95,4025,233,0.057888,5.029,0.0249,5.0503,0.08,0.8838,3572,219,219,14,False,True
LSTM_Frozen,test_frozen,95,877,101,0.115165,58.2509,0.0,58.8313,0.0,0.4462,688,87,87,14,False,False
LSTM_WF_B,test_wf,95,877,113,0.128848,81.5396,0.0,82.0511,0.0,0.4745,667,96,96,17,False,False
GARCH,test_wf,95,877,59,0.067275,4.9952,0.0254,6.0437,0.0487,0.3058,764,53,53,6,False,False
GK_Realized,test_wf,95,877,42,0.047891,0.0833,0.7729,1.8069,0.4052,0.1892,796,38,38,4,True,True
