DATE,ret_true,sigma_lstm_wf,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2022-03-15,0.01940541,0.014572412,0.01896964,12.528977,-0.023623547490684883,-0.03602286318052385,0,0
2022-03-16,0.022259949,0.014345988,0.01542654,13.136791,-0.023256488191894187,-0.03546314508972101,0,0
2022-03-17,0.011998087,0.013323045,0.012754351,12.769742,-0.021598182089729766,-0.03293444215663055,0,0
2022-03-18,0.011631321,0.01283513,0.01296528,13.128077,-0.020807215501011517,-0.03172832012025992,0,0
2022-03-21,-0.0002807175,0.012172656,0.009165275,13.0785885,-0.019733269882120593,-0.03009069155884739,0,0
2022-03-22,0.011778304,0.0118209645,0.011052804,12.722407,-0.019163137432497927,-0.029221313103489126,0,0
2022-03-23,-0.012845751,0.011485079,0.007612301,13.024182,-0.018618628609737228,-0.028391007374401183,0,0
2022-03-24,0.014509183,0.01126692,0.007154818,13.360471,-0.01826496685550539,-0.027851718811161424,0,0
2022-03-25,0.005304466,0.010944714,0.0066016247,12.991947,-0.0177426347922778,-0.02705522978021179,0,0
2022-03-28,0.006919683,0.010511875,0.00864411,13.070541,-0.01704095253289005,-0.025985254831017875,0,0
2022-03-29,0.0125090005,0.010144898,0.0068160472,13.118995,-0.01644604044938506,-0.025078090629832975,0,0
2022-03-30,-0.0063981134,0.009571453,0.0073569035,13.46723,-0.015516421005985052,-0.023660540872212626,0,0
2022-03-31,-0.014298871,0.009341722,0.009951601,12.889313,-0.01514400066378766,-0.023092647881631487,0,0
2022-04-01,0.0018743115,0.009510855,0.008467863,13.431808,-0.015418185287112453,-0.02351074407045017,0,0
2022-04-04,0.0084458105,0.009202365,0.0060674055,12.653802,-0.014918087374940584,-0.022748159252309018,0,0
2022-04-05,-0.012640309,0.0087076295,0.010001368,13.093156,-0.014116064478189009,-0.021525177772126092,0,0
2022-04-06,-0.009893366,0.009008402,0.011299956,13.816504,-0.014603651038430645,-0.022268684392170036,0,0
2022-04-07,0.0045697805,0.009165485,0.010945088,14.122792,-0.014858300600248614,-0.02265699213163915,0,0
2022-04-08,-0.0028397245,0.00899917,0.007871593,13.769099,-0.01458868535491561,-0.022245863654942584,0,0
2022-04-11,-0.016756086,0.00888311,0.008397994,13.738436,-0.014400539063921611,-0.021958964826514202,1,0
2022-04-12,-0.0036355413,0.00926145,0.0143719,14.3961735,-0.01501387045021434,-0.02289421608890212,0,0
2022-04-13,0.01114864,0.009692325,0.008307946,14.266978,-0.01571236916808287,-0.023959336547862448,0,0
2022-04-14,-0.012401416,0.009349082,0.008746325,14.140034,-0.015155931348547896,-0.023110840637183442,0,0
2022-04-18,-0.00017095478,0.009376075,0.008178588,14.688544,-0.015199690696556441,-0.023177567999227704,0,0
2022-04-19,0.016391957,0.009265073,0.012680531,14.378241,-0.015019742953366699,-0.02290317089882929,0,0
2022-04-20,-0.0008413024,0.0088898055,0.007912603,14.741446,-0.014411392813639824,-0.02197551539502001,0,0
2022-04-21,-0.014696172,0.008600291,0.017406939,14.098761,-0.013942055913597014,-0.0212598371531099,1,0
2022-04-22,-0.028473524,0.008863582,0.016713012,14.255811,-0.014368880887255192,-0.021910690190071518,1,1
2022-04-25,0.0059579615,0.009763859,0.016133567,12.147371,-0.015828333803485858,-0.024136167660824985,0,0
2022-04-26,-0.028891621,0.009881404,0.021257052,12.421977,-0.0160188871624578,-0.024426736957478764,1,1
2022-04-27,0.0023351207,0.010755662,0.0139818955,12.499032,-0.017436158997551854,-0.026587893719617662,0,0
2022-04-28,0.02439938,0.011227264,0.01732893,12.6753025,-0.01820067991024596,-0.02775368951076582,0,0
2022-04-29,-0.037098534,0.011015932,0.020877821,12.905866,-0.01785808796793512,-0.027231280983025453,1,1
2022-05-02,0.005677372,0.01165212,0.018849924,12.490656,-0.018889420381283856,-0.028803929901836247,0,0
2022-05-03,0.0043868944,0.011730995,0.010769565,12.681667,-0.019017285317699813,-0.028998907439054762,0,0
2022-05-04,0.029773597,0.011263105,0.019715654,12.605179,-0.01825878207495056,-0.02784228781847009,0,0
2022-05-05,-0.036029257,0.01032614,0.026170203,13.151691,-0.016739854661430395,-0.025526119409810918,1,1
2022-05-06,-0.0057487073,0.011532703,0.015175061,13.204259,-0.018695832023557117,-0.02850873262350697,0,0
2022-05-09,-0.03256733,0.0118307965,0.016596306,13.12734,-0.01917907539592551,-0.0292456164421877,1,1
