https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1753315200,2025-07-24 00:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753311600,2025-07-23 23:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753308000,2025-07-23 22:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753304400,2025-07-23 21:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753300800,2025-07-23 20:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753297200,2025-07-23 19:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753293600,2025-07-23 18:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753290000,2025-07-23 17:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753286400,2025-07-23 16:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753282800,2025-07-23 15:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753279200,2025-07-23 14:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753275600,2025-07-23 13:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753272000,2025-07-23 12:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753268400,2025-07-23 11:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753264800,2025-07-23 10:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,51.61205,51.61205
1753261200,2025-07-23 09:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753257600,2025-07-23 08:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753254000,2025-07-23 07:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753250400,2025-07-23 06:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,103.22409,103.22409
1753246800,2025-07-23 05:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753243200,2025-07-23 04:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753239600,2025-07-23 03:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753236000,2025-07-23 02:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,15.05216,15.05216
1753232400,2025-07-23 01:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753228800,2025-07-23 00:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753225200,2025-07-22 23:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753221600,2025-07-22 22:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753218000,2025-07-22 21:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753214400,2025-07-22 20:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753210800,2025-07-22 19:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,0.00000,0.0
1753207200,2025-07-22 18:00:00,DAI/USD,1.00000,1.00000,1.00000,1.00000,46.70635,46.70635
1753203600,2025-07-22 17:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753200000,2025-07-22 16:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753196400,2025-07-22 15:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753192800,2025-07-22 14:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753189200,2025-07-22 13:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753185600,2025-07-22 12:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753182000,2025-07-22 11:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753178400,2025-07-22 10:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753174800,2025-07-22 09:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753171200,2025-07-22 08:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753167600,2025-07-22 07:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753164000,2025-07-22 06:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753160400,2025-07-22 05:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753156800,2025-07-22 04:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753153200,2025-07-22 03:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753149600,2025-07-22 02:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753146000,2025-07-22 01:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753142400,2025-07-22 00:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753138800,2025-07-21 23:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753135200,2025-07-21 22:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753131600,2025-07-21 21:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753128000,2025-07-21 20:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753124400,2025-07-21 19:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753120800,2025-07-21 18:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753117200,2025-07-21 17:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753113600,2025-07-21 16:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753110000,2025-07-21 15:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753106400,2025-07-21 14:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753102800,2025-07-21 13:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753099200,2025-07-21 12:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753095600,2025-07-21 11:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753092000,2025-07-21 10:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753088400,2025-07-21 09:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753084800,2025-07-21 08:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753081200,2025-07-21 07:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753077600,2025-07-21 06:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753074000,2025-07-21 05:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753070400,2025-07-21 04:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753066800,2025-07-21 03:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753063200,2025-07-21 02:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753059600,2025-07-21 01:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753056000,2025-07-21 00:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753052400,2025-07-20 23:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753048800,2025-07-20 22:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753045200,2025-07-20 21:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753041600,2025-07-20 20:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753038000,2025-07-20 19:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753034400,2025-07-20 18:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753030800,2025-07-20 17:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753027200,2025-07-20 16:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753023600,2025-07-20 15:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753020000,2025-07-20 14:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753016400,2025-07-20 13:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753012800,2025-07-20 12:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753009200,2025-07-20 11:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753005600,2025-07-20 10:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1753002000,2025-07-20 09:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752998400,2025-07-20 08:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752994800,2025-07-20 07:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752991200,2025-07-20 06:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752987600,2025-07-20 05:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752984000,2025-07-20 04:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752980400,2025-07-20 03:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752976800,2025-07-20 02:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752973200,2025-07-20 01:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752969600,2025-07-20 00:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752966000,2025-07-19 23:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752962400,2025-07-19 22:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752958800,2025-07-19 21:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752955200,2025-07-19 20:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752951600,2025-07-19 19:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752948000,2025-07-19 18:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752944400,2025-07-19 17:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752940800,2025-07-19 16:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752937200,2025-07-19 15:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
1752933600,2025-07-19 14:00:00,DAI/USD,0.97000,0.97000,0.97000,0.97000,0.00000,0.0
