DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,garch_vol,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.0062997580685483,0.0062997580685483,3.968695172223941e-05,-0.01021262921990761,-0.013570556931493208,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.0059572604462737,0.0059572604462737,3.5488952024737123e-05,-0.009657401354499046,-0.012832769316253953,1225.6064884686102,1221.7209092281696,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.0062952805708769,0.0062952805708769,3.963055746606019e-05,-0.010205370683460108,-0.013560911777441386,1232.3589266322306,1228.2306258264857,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.0062921094868507,0.0062921094868507,3.959064179451658e-05,-0.010200229993130042,-0.013554080820467508,1235.08735376792,1230.9519935915446,0
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.0063030538412539,0.0063030538412539,3.972848772574555e-05,-0.010217972044865197,-0.013577656485261456,1225.4145589512993,1221.3044609068331,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.0063213671192827,0.0063213671192827,3.995968225674846e-05,-0.01024765996561932,-0.013617105838615648,1217.2122909666882,1213.1178618886368,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.0062855351891707,0.0062855351891707,3.950795261430315e-05,-0.0101895723037622,-0.013539918866947985,1214.808342622463,1210.7451240627383,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.0062944523338446,0.0062944523338446,3.962013018304173e-05,-0.010204028016388606,-0.013559127639435245,1221.7197168242478,1217.6275940413122,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.0059243251326406,0.0059243251326406,3.5097628277237066e-05,-0.009604009439648302,-0.012761822060208363,1221.9577703361854,1218.1051428066066,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.0058780878369891,0.0058780878369891,3.45519166193592e-05,-0.00952905348872417,-0.012662220480882705,1226.7543187450053,1222.9167076835793,0
2005-08-15,0.005266368258391552,1237.5,1231.0,99.99994261441516,10.0,0.0,0.0059309003951955,0.0059309003951955,3.517557949773014e-05,-0.009614668693188845,-0.012775986092202903,1219.2210588856599,1215.3728001275786,0
2005-08-16,-0.01301360374505034,1221.5,1237.5,99.9995455235726,10.0,0.0,0.0059347709805083,0.0059347709805083,3.5221506591083454e-05,-0.009620943355204994,-0.012784323872443671,1225.651172443641,1221.7800974735185,1
