DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,gk_vol_daily,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.0034574761212212675,0.0034574761212212675,1.1954141128815261e-05,-0.005604964711105783,-0.007447885463500605,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.004545285636472755,0.004545285636472755,2.065962151712554e-05,-0.007368428501344778,-0.009791178776785269,1228.4150816198264,1225.442540958328,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.0032178564990159335,0.0032178564990159335,1.035460044825908e-05,-0.005216513864459011,-0.006931711399408376,1238.522350302629,1236.3998605853224,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.004781848623340864,0.004781848623340864,2.286607625654692e-05,-0.0077519241920919295,-0.010300768422331375,1238.1149300048457,1234.963186267353,1
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.00661355881430288,0.00661355881430288,4.3739160190243316e-05,-0.010721336162372865,-0.014246527474976137,1224.7978844521801,1220.487838921147,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.00575831594119752,0.00575831594119752,3.315820247864948e-05,-0.00933488953046177,-0.012404215123701257,1218.3238335736341,1214.590133951487,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.004877257724313714,0.004877257724313714,2.378764290937779e-05,-0.007906593270148284,-0.010506292923819573,1217.584892795498,1214.4236486944023,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.00971901808204232,0.00971901808204232,9.445931247906558e-05,-0.0157556412442277,-0.020936119572439425,1214.9559936428736,1208.6782154349612,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.005459531069508741,0.005459531069508741,2.9806479498931255e-05,-0.008850525039338015,-0.011760590865848476,1222.8788434174935,1219.3253584306328,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.0053209787846234665,0.0053209787846234665,2.8312815226413024e-05,-0.008625915919796003,-0.011462129932973738,1227.8627471144189,1224.3851994506495,0
2005-08-15,0.005266368258391552,1237.5,1231.0,99.99994261441516,10.0,0.0,0.0051423215125408145,0.0051423215125408145,2.644347053834005e-05,-0.008336292023549982,-0.01107727726789646,1220.7806793212603,1217.4391191682887,0
2005-08-16,-0.01301360374505034,1221.5,1237.5,99.9995455235726,10.0,0.0,0.00748359747136785,0.00748359747136785,5.6004231113463275e-05,-0.012131768454360614,-0.016120712007116563,1222.5776368868621,1217.7105574107193,1
2005-08-17,0.0,1221.5,1221.5,99.9997491039291,10.0,0.0,0.005492680456764793,0.005492680456764793,3.01695386001259e-05,-0.008904263992045322,-0.0118319992663152,1210.6717220007272,1207.132379351987,0
2005-08-18,-0.0004094165870904831,1221.0,1221.5,99.99999831459697,10.0,0.0,0.004626941711018561,0.004626941711018561,2.1408589597163368e-05,-0.007500802348691843,-0.009967077342471214,1212.372046216062,1209.3856874599971,0
