DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,sma_vol_20,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.005056065817599669,0.005056065817599669,2.5563801551899807e-05,-0.008196461664835527,-0.010891470478790024,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.004981223807113462,0.004981223807113462,2.481259061655393e-05,-0.008075134195613492,-0.010730250356823574,1227.5472603699477,1224.2923028576279,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.004398818361520469,0.004398818361520469,1.934960297764962e-05,-0.007130988276551724,-0.009475667852125474,1236.1534992300803,1233.258510604784,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.004875286961979888,0.004875286961979888,2.3768422961651082e-05,-0.007903398438731437,-0.010502047627070297,1237.9274016817842,1234.7146388738893,0
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.004619056559426763,0.004619056559426763,2.13356834991834e-05,-0.0074880196150259514,-0.009950091626920616,1228.7644528490991,1225.7428674872572,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.00449072882739127,0.00449072882739127,2.0166645401162973e-05,-0.0072799856664759015,-0.009673655805968786,1220.8299459549733,1217.9111764472784,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.00464193615610126,0.00464193615610126,2.154757127732014e-05,-0.007525110061197882,-0.009999377467085017,1218.0494695960615,1215.0394148704597,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.004628186809195201,0.004628186809195201,2.1420113140808454e-05,-0.007502820795413454,-0.009969759457483813,1225.0242961127321,1222.0059608693746,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.004655475906564025,0.004655475906564025,2.1673455916598132e-05,-0.007547059547146659,-0.010028543976734094,1224.4738630917402,1221.4391171607,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.0048563902109019985,0.0048563902109019985,2.3584525880544758e-05,-0.007872764641350732,-0.010461341391444674,1228.787861844104,1225.611163491735,0
2005-08-15,0.005266368258391552,1237.5,1231.0,99.99994261441516,10.0,0.0,0.004901532541227223,0.004901532541227223,2.40250212527094e-05,-0.007945945528095537,-0.010558584262842733,1221.2572997986667,1218.0707601231911,0
2005-08-16,-0.01301360374505034,1221.5,1237.5,99.9995455235726,10.0,0.0,0.005563881752911513,0.005563881752911513,3.095678016038169e-05,-0.009019689446421677,-0.011985376782156509,1226.3883215865724,1222.756625172403,1
2005-08-17,0.0,1221.5,1221.5,99.9997491039291,10.0,0.0,0.005519706040807941,0.005519706040807941,3.046715477693168e-05,-0.008948075558502465,-0.011890216141133841,1210.618681738018,1207.0621059229381,0
2005-08-18,-0.0004094165870904831,1221.0,1221.5,99.99999831459697,10.0,0.0,0.005415176493797353,0.005415176493797353,2.932413645897539e-05,-0.008778621193028706,-0.011665044927684803,1210.8238437408702,1207.333932164611,0
2005-08-19,0.002249719734015443,1223.75,1221.0,99.45683865522396,10.0,0.0,0.005273694828693414,0.005273694828693414,2.7811857146187657e-05,-0.008549263212706356,-0.011360273701525972,1210.6058441134683,1207.2075968798308,0
2005-08-22,0.00020426922755145682,1224.0,1223.75,99.99675722449626,10.0,0.0,0.005257714815694287,0.005257714815694287,2.7643565083171214e-05,-0.008523357781749546,-0.011325850526253048,1213.3638661591872,1209.9681831388116,0
2005-08-23,-0.0020445723744764166,1221.5,1224.0,99.95099396405736,10.0,0.0,0.0052614885522039075,0.0052614885522039075,2.768326178497277e-05,-0.008529475440765499,-0.011333979680673109,1213.6043199348303,1210.2055296625601,0
2005-08-24,-0.009459252107008709,1210.0,1221.5,99.9999150791108,10.0,0.0,0.005499764835962906,0.005499764835962906,3.0247413250894093e-05,-0.008915748581963904,-0.01184726000651922,1210.6578180123151,1207.1139577589176,1
2005-08-25,0.0028883865758695393,1213.5,1210.0,99.83265051801952,10.0,0.0,0.005346546787974657,0.005346546787974657,2.858556255600212e-05,-0.008667364581042645,-0.011517206975826257,1199.5578073730364,1196.1441232198836,0
2005-08-26,-0.006199647879524761,1206.0,1213.5,93.77486480088828,10.0,0.0,0.005231663239854516,0.005231663239854516,2.737030025524505e-05,-0.008481125194124606,-0.01126973180086044,1203.251674671656,1199.9009531954819,0
2005-08-29,0.007023371155096214,1214.5,1206.0,99.99763513514154,10.0,0.0,0.005524781442542028,0.005524781442542028,3.0523209987856766e-05,-0.008956303365902097,-0.011901149263871758,1195.246923926506,1191.732283502685,0
2005-08-30,-0.004952548298689408,1208.5,1214.5,99.92426425138989,10.0,0.0,0.005347012424374961,0.005347012424374961,2.8590541866420202e-05,-0.00866811943096797,-0.01151821002153229,1204.018063919069,1200.5913888509856,0
2005-08-31,0.010699690554257124,1221.5,1208.5,99.99866645522394,10.0,0.0,0.0059291294545302095,0.0059291294545302095,3.5154576088577696e-05,-0.009611797795578449,-0.01277217123917853,1196.9397885720402,1193.1629830521301,0
2005-09-01,0.00020464545246934307,1221.75,1221.5,99.99953237382074,10.0,0.0,0.005724807715382772,0.005724807715382772,3.277342337810612e-05,-0.009280568859359902,-0.012332033734964666,1210.2162260470654,1206.5289224412898,0
2005-09-02,-0.0016383374543176288,1219.75,1221.75,99.75948293425334,10.0,0.0,0.00556256247559799,0.00556256247559799,3.094210129493084e-05,-0.009017550746824858,-0.011982534874944073,1210.782332445115,1207.1976988637264,0
2005-09-06,0.011817578443025667,1234.25,1219.75,99.50481470233744,10.0,0.0,0.006148462614310395,0.006148462614310395,3.7803592519572615e-05,-0.009967361963613548,-0.01324464543570703,1207.652699485082,1203.701357623362,0
2005-09-07,0.0010122482896921525,1235.5,1234.25,99.99418938073124,10.0,0.0,0.006026250348241504,0.006026250348241504,3.631569325968084e-05,-0.0097692418856827,-0.012981383180812716,1222.2510191057947,1218.3312748907179,0
2005-09-08,-0.00283688133519977,1232.0,1235.5,95.94728388409116,10.0,0.0,0.00605866353159561,0.00605866353159561,3.670740378908659e-05,-0.009821787367561603,-0.013051205695463535,1223.4245798853976,1219.4800028971333,0
2005-09-09,0.008084118399959372,1242.0,1232.0,99.99790352318426,10.0,0.0,0.0062627373312201425,0.0062627373312201425,3.922187887985839e-05,-0.01015261436542175,-0.013490809103387583,1219.5552593238351,1215.4909339036158,0
2005-09-12,-0.001410011312265702,1240.25,1242.0,99.99930241291628,10.0,0.0,0.006111983422063142,0.006111983422063142,3.735634135157468e-05,-0.009908225015716633,-0.013166064171185503,1229.754749060497,1225.754924817084,0
2005-09-13,-0.0010083695520162195,1239.0,1240.25,99.99874316846768,10.0,0.0,0.006013059670332114,0.006013059670332114,3.615688659897455e-05,-0.009747858286315548,-0.012952968622096874,1228.2189524998676,1224.2886770883345,0
2005-09-14,-0.0036385728439078946,1234.5,1239.0,99.99910977297796,10.0,0.0,0.0052985508511119335,0.0052985508511119335,2.8074641121818994e-05,-0.008589557671331582,-0.011413817038214568,1228.403114478429,1224.9386800096258,0
2005-09-15,-0.0008103728158230794,1233.5,1234.5,99.99905338990904,10.0,0.0,0.005305537606480014,0.005305537606480014,2.8148729293773672e-05,-0.00860088400184269,-0.011428867483082018,1223.927739267507,1220.4713814036156,0
2005-09-16,0.007068594513018667,1242.25,1233.5,99.997920015283,10.0,0.0,0.005489378026319862,0.005489378026319862,3.0133271115843342e-05,-0.008898910374129898,-0.011824885370848486,1222.5718903047527,1218.999903841982,0
2005-09-19,-0.0034270772378883763,1238.0,1242.25,99.99887353863464,10.0,0.0,0.005556673996794742,0.005556673996794742,3.0876625906654855e-05,-0.00900800484838995,-0.011969850270873592,1231.1100556418246,1227.4690926055034,0
2005-09-20,-0.008517593575866123,1227.5,1238.0,99.99949763914312,10.0,0.0,0.005900568509956512,0.005900568509956512,3.481670874069041e-05,-0.009565497233885813,-0.012710646983780593,1226.2143719845765,1222.3638026419555,0
2005-09-21,-0.009412797142562823,1216.0,1227.5,99.99109375434656,10.0,0.0,0.006245574562228668,0.006245574562228668,3.9007201612357825e-05,-0.010124791551562923,-0.013453838106856198,1215.1345229426313,1211.0960094742384,0
2005-09-22,0.003079136169834129,1219.75,1216.0,95.131256632114,10.0,0.0,0.005907391393546173,0.005907391393546173,3.4897273076543394e-05,-0.009576557909479002,-0.012725344425997097,1204.41048797177,1200.624020983513,0
2005-09-23,0.0006146911370681352,1220.5,1219.75,99.9532166483076,10.0,0.0,0.0058802500504071525,0.0058802500504071525,3.457734065531332e-05,-0.009532558684271776,-0.012666878189951599,1208.177905011392,1204.3970177869446,0
2005-09-26,0.0008190008647801506,1221.5,1220.5,94.04939878854483,10.0,0.0,0.005688944710625553,0.005688944710625553,3.236409192055446e-05,-0.009222430821944497,-0.012254779824180056,1209.2957677232591,1205.6343151153076,0
2005-09-27,0.00020464545246934307,1221.75,1221.5,99.99892923940034,10.0,0.0,0.005497176946317939,0.005497176946317939,3.0218954379129424e-05,-0.008911553316507913,-0.011841685331527367,1210.662897053892,1207.1206870456672,0
2005-09-28,0.0008181632692023655,1222.75,1221.75,99.98010093461144,10.0,0.0,0.005363865599775867,0.005363865599775867,2.877105417245892e-05,-0.008695440358164651,-0.011554514110318851,1211.1724008319688,1207.714515142007,0
2005-09-29,0.0073335020046059185,1231.75,1222.75,99.99323666571676,10.0,0.0,0.005089682751212893,0.005089682751212893,2.5904870507994042e-05,-0.008250958563726951,-0.01096388603927608,1212.7026475610332,1209.417131926721,0
2005-09-30,0.002027575714899754,1234.25,1231.75,99.99905982750926,10.0,0.0,0.00510135836209686,0.00510135836209686,2.6023857138535555e-05,-0.008269886065954246,-0.010989036932451148,1221.6055722845433,1218.2883544858726,0
2005-10-03,-0.002027575714899754,1231.75,1234.25,99.9999231018972,10.0,0.0,0.005110248018054585,0.005110248018054585,2.6114634806030815e-05,-0.008284297216223976,-0.011008186490412427,1224.0673424774523,1220.73765548048,0
2005-10-04,-0.012252552710508624,1216.75,1231.75,99.9999940121184,10.0,0.0,0.005134971704234949,0.005134971704234949,2.636793440329358e-05,-0.008324377142653215,-0.011061444756399192,1221.5390074952181,1218.2001440707836,1
2005-10-05,-0.013237008168630382,1200.75,1216.75,99.99976763984684,10.0,0.0,0.005792461652969225,0.005792461652969225,3.3552612001118965e-05,-0.00939024363929894,-0.012477769746041074,1205.3778980187533,1201.662001705482,1
2005-10-06,-0.0031279349869608453,1197.0,1200.75,99.99855815213354,10.0,0.0,0.005796351127296928,0.005796351127296928,3.359768639091637e-05,-0.009396548922571244,-0.012486148215852668,1189.5199384225893,1185.850469974004,0
2005-10-07,0.0025031302181188764,1200.0,1197.0,99.99792601699347,10.0,0.0,0.005455384469779051,0.005455384469779051,2.976121971310646e-05,-0.008843802926345437,-0.011751658512083209,1186.460640598611,1183.0155956716555,0
2005-10-10,-0.00836824967051708,1190.0,1200.0,95.37236775682044,10.0,0.0,0.005643162580329835,0.005643162580329835,3.1845283908034876e-05,-0.009148212746183468,-0.01215615873447109,1189.0722058095962,1185.500914656471,0
2005-10-11,-0.0012612993053258137,1188.5,1190.0,99.99615592701676,10.0,0.0,0.005641056803841903,0.005641056803841903,3.1821521864171023e-05,-0.009144799041362228,-0.01215162259841578,1179.167296083396,1175.627073159926,0
2005-10-12,-0.00844956442406275,1178.5,1188.5,99.70705650195316,10.0,0.0,0.005802625688277451,0.005802625688277451,3.3670464878257364e-05,-0.009406720704426122,-0.012499664494744617,1177.3725309916904,1173.736609681713,0
2005-10-13,-0.0004243581646541372,1178.0,1178.5,99.9092156184916,10.0,0.0,0.005808258092587893,0.005808258092587893,3.373586207011275e-05,-0.009415851476784878,-0.012511797478666278,1167.4554973317329,1163.8467073443458,0
2005-10-14,0.0101352218940427,1190.0,1178.0,99.99839270837798,10.0,0.0,0.006087375187592822,0.006087375187592822,3.7056136674520746e-05,-0.009868332249729852,-0.013113054604273679,1166.432275559663,1162.6536602740111,0
2005-10-17,0.0035650661644970327,1194.25,1190.0,99.31562261006287,10.0,0.0,0.00620358351643273,0.00620358351643273,3.848444844535588e-05,-0.01005671925789643,-0.013363383541556037,1178.0924797352848,1174.2033569650234,0
2005-10-18,-0.010733555643109405,1181.5,1194.25,99.99959329004446,10.0,0.0,0.0063408615152619535,0.0063408615152619535,4.0206524755730115e-05,-0.010279262613821975,-0.013659099484657758,1182.0368691528258,1178.0485211392838,1
2005-10-19,0.01595331903434527,1200.5,1181.5,99.99785622043429,10.0,0.0,0.007192883359441831,0.007192883359441831,5.17375710225352e-05,-0.011660487589002032,-0.01549447329068445,1167.8031451097927,1163.3343766203423,0
2005-10-20,-0.0176475168135779,1179.5,1200.5,99.9998116947278,10.0,0.0,0.008026942108324138,0.008026942108324138,6.443179961038716e-05,-0.013012592329735019,-0.01729115208576802,1184.9795823442755,1179.920407101134,1
2005-10-21,0.0035967456525582975,1183.75,1179.5,99.99925535941414,10.0,0.0,0.008095543425828137,0.008095543425828137,6.553782335946917e-05,-0.0131238029210057,-0.017438928885231363,1164.1216066794073,1159.109097890191,0
2005-10-24,0.015715357479628267,1202.5,1183.75,99.99994170864126,10.0,0.0,0.008920499117203303,0.008920499117203303,7.957530450002491e-05,-0.014461150563120554,-0.01921599842567259,1166.7547943107252,1161.220221224777,0
2005-10-25,-0.0029148469524020726,1199.0,1202.5,99.9999890026841,10.0,0.0,0.008929119743354502,0.008929119743354502,7.972917939116317e-05,-0.014475125585267068,-0.019234568455933597,1185.2190352888567,1179.5914556960884,0
2005-10-26,-0.0025052205169373565,1196.0,1199.0,99.9987620624785,10.0,0.0,0.008925780984628267,0.008925780984628267,7.966956618555157e-05,-0.014469713075047666,-0.01922737630428557,1181.775729670947,1176.166592509894,0
