DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,yz_vol_20,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2005-08-01,0.0006062443350272062,1237.5,,99.9928642204798,10.0,0.0,0.007351180310137432,0.007351180310137432,5.403985195215227e-05,-0.011917105072801486,-0.015835466985699702,,,0
2005-08-02,0.006042314455962483,1245.0,1237.5,99.99992686928144,10.0,0.0,0.007235158075132835,0.007235158075132835,5.234751237215987e-05,-0.011729019744051715,-0.015585538920476113,1223.070127621718,1218.362417741858,0
2005-08-03,0.002206399450910723,1247.75,1245.0,99.98301189888332,10.0,0.0,0.007154742803525793,0.007154742803525793,5.1190344584604126e-05,-0.011598657380353813,-0.015412313217261716,1230.643092935659,1225.95878157419,0
2005-08-04,-0.007844755105177015,1238.0,1247.75,99.99829269435428,10.0,0.0,0.0050464658732745525,0.0050464658732745525,2.546681781012469e-05,-0.008180899055786516,-0.010870790860686343,1237.5839237238251,1234.2594301380864,0
2005-08-05,-0.006686277569092347,1229.75,1238.0,99.99835838968072,10.0,0.0,0.00505535440940307,0.00505535440940307,2.5556608204671065e-05,-0.008195308390684868,-0.010889938006379428,1227.8956688204844,1224.5913986777564,0
2005-08-08,-0.0020350027372870727,1227.25,1229.75,99.99806019734608,10.0,0.0,0.005129879329466703,0.005129879329466703,2.6315661934889745e-05,-0.00831612182002161,-0.011050475071380014,1219.5656550125248,1216.2354867016559,0
2005-08-09,0.00568760420081027,1234.25,1227.25,99.99984465149473,10.0,0.0,0.005101014272072778,0.005101014272072778,2.602034660389017e-05,-0.008269328256623161,-0.01098829571458047,1217.1433122490764,1213.838434155416,0
2005-08-10,-0.0004051863912808429,1233.75,1234.25,99.99999321547676,10.0,0.0,0.005480597058446524,0.005480597058446524,3.003694411705269e-05,-0.008884675419690928,-0.011805969942169777,1223.332659691287,1219.7641595511045,0
2005-08-11,0.0038426581817230243,1238.5,1233.75,99.99895206553008,10.0,0.0,0.0054425980308503525,0.0054425980308503525,2.9621873325416134e-05,-0.008823074644655742,-0.011724114740474063,1222.9124123851325,1219.3698355064498,0
2005-08-12,-0.006074122744960775,1231.0,1238.5,99.99962232828804,10.0,0.0,0.0055052620977137446,0.0055052620977137446,3.0307910764523538e-05,-0.008924660272758251,-0.011859101874531503,1227.4959848393128,1223.8992493414696,0
2005-08-15,0.005266368258391552,1237.5,1231.0,99.99994261441516,10.0,0.0,0.0055533173929504225,0.0055533173929504225,3.083933406684568e-05,-0.009002563409190674,-0.01196261967835398,1219.9675789893072,1216.3617456765344,0
2005-08-16,-0.01301360374505034,1221.5,1237.5,99.9995455235726,10.0,0.0,0.005763792985693749,0.005763792985693749,3.322130958193246e-05,-0.0093437684467713,-0.01241601344092926,1225.9909392803804,1222.2301747074168,1
