timestamp,ln_true,ln_pred,ret_true,ret_pred,price_true,price_pred,train_loss
2022-08-01 00:00:00,10.0594206429,,0.0034987398,,23374.9600000000,,91.2798614502
2022-08-01 01:00:00,10.0612943976,0.6718750000,0.0018737547,-9.3875456429,23418.8000000000,1.9579049529,86.1917419434
2022-08-01 02:00:00,10.0613490530,0.7573242188,0.0000546554,-9.3039701788,23420.0800000000,2.1325623091,83.2624435425
2022-08-01 03:00:00,10.0594488779,0.8413085938,-0.0019001752,-9.2200404593,23375.6200000000,2.3194001443,83.4863357544
2022-08-01 04:00:00,10.0601664623,0.9184570312,0.0007175844,-9.1409918466,23392.4000000000,2.5054216187,84.1611022949
2022-08-01 05:00:00,10.0573869151,0.9941406250,-0.0027795472,-9.0660258373,23327.4700000000,2.7024009673,79.6306076050
2022-08-01 06:00:00,10.0529316021,1.0605468750,-0.0044553130,-8.9968400401,23223.7700000000,2.8879499051,78.8905181885
2022-08-01 07:00:00,10.0571545440,1.1035156250,0.0042229419,-8.9494159771,23322.0500000000,3.0147461321,77.2223281860
2022-08-01 08:00:00,10.0556831796,1.1542968750,-0.0014713643,-8.9028576690,23287.7600000000,3.1717924667,74.0376129150
2022-08-01 09:00:00,10.0567132333,1.2236328125,0.0010300536,-8.8320503671,23311.7600000000,3.3995151296,77.0087509155
2022-08-01 10:00:00,10.0448720908,1.3027343750,-0.0118411424,-8.7539788583,23037.3500000000,3.6793436305,72.5482940674
2022-08-01 11:00:00,10.0531046856,1.3183593750,0.0082325948,-8.7265127158,23227.7900000000,3.7372848618,71.8915023804
2022-08-01 12:00:00,10.0493218901,1.3632812500,-0.0037827955,-8.6898234356,23140.0900000000,3.9089986834,75.6850051880
2022-08-01 13:00:00,10.0538380207,1.4433593750,0.0045161306,-8.6059625151,23244.8300000000,4.2348985598,75.3052749634
2022-08-01 14:00:00,10.0620887427,1.4912109375,0.0082507220,-8.5626270832,23437.4100000000,4.4424718189,72.3758773804
2022-08-01 15:00:00,10.0573551923,1.5771484375,-0.0047335504,-8.4849403052,23326.7300000000,4.8411313214,72.0464630127
2022-08-01 16:00:00,10.0518618670,1.7246093750,-0.0054933254,-8.3327458173,23198.9400000000,5.6103290668,71.3250579834
2022-08-01 17:00:00,10.0416695518,1.8447265625,-0.0101923151,-8.2071353045,22963.6900000000,6.3263696872,64.5114822388
2022-08-01 18:00:00,10.0412196100,1.9179687500,-0.0004499418,-8.1237008018,22953.3600000000,6.8071174594,63.8158988953
2022-08-01 19:00:00,10.0412296303,2.0214843750,0.0000100203,-8.0197352350,22953.5900000000,7.5495229437,60.8859977722
2022-08-01 20:00:00,10.0484048787,2.1503906250,0.0071752484,-7.8908390053,23118.8800000000,8.5882125125,62.9971847534
2022-08-01 21:00:00,10.0440791507,2.3222656250,-0.0043257281,-7.7261392537,23019.0900000000,10.1987547041,56.4719467163
2022-08-01 22:00:00,10.0503887324,2.5058593750,0.0063095818,-7.5382197757,23164.7900000000,12.2540852967,58.9715652466
2022-08-01 23:00:00,10.0548347348,2.6933593750,0.0044460024,-7.3570293574,23268.0100000000,14.7812483638,55.9011840820
2022-08-02 00:00:00,10.0513750883,2.9101562500,-0.0034596465,-7.1446784848,23187.6500000000,18.3596670409,54.2842063904
2022-08-02 01:00:00,10.0431251394,3.1074218750,-0.0082499490,-6.9439532133,22997.1400000000,22.3633145950,49.0295372009
2022-08-02 02:00:00,10.0394575319,3.2656250000,-0.0036676075,-6.7775001394,22912.9500000000,26.1964786746,48.2971305847
2022-08-02 03:00:00,10.0368424921,3.4140625000,-0.0026150398,-6.6253950319,22853.1100000000,30.3884469001,42.1450309753
2022-08-02 04:00:00,10.0372436699,3.5605468750,0.0004011778,-6.4762956171,22862.2800000000,35.1824322777,34.7240600586
2022-08-02 05:00:00,10.0368249889,3.7109375000,-0.0004186811,-6.3263061699,22852.7100000000,40.8921249296,43.4222946167
2022-08-02 06:00:00,10.0377837151,3.8730468750,0.0009587263,-6.1637781139,22874.6300000000,48.0886832999,48.4912376404
2022-08-02 07:00:00,10.0383592965,4.0312500000,0.0005755813,-6.0065337151,22887.8000000000,56.3312813583,32.8302154541
2022-08-02 08:00:00,10.0349429167,4.1835937500,-0.0034163798,-5.8547655465,22809.7400000000,65.6011843564,39.1331024170
2022-08-02 09:00:00,10.0306081901,4.3359375000,-0.0043347266,-5.6990054167,22711.0800000000,76.3965470905,35.7583312988
2022-08-02 10:00:00,10.0370638817,4.4726562500,0.0064556915,-5.5579519401,22858.1700000000,87.5890727618,26.0055484772
2022-08-02 11:00:00,10.0381325124,4.6210937500,0.0010686308,-5.4159701317,22882.6100000000,101.6051019574,26.9410457611
2022-08-02 12:00:00,10.0316810992,4.7812500000,-0.0064514132,-5.2568825124,22735.4600000000,119.2533235714,28.1028518677
2022-08-02 13:00:00,10.0345140606,4.9062500000,0.0028329614,-5.1254310992,22799.9600000000,135.1317191280,22.7795791626
2022-08-02 14:00:00,10.0443623537,5.0429687500,0.0098482932,-4.9915453106,23025.6100000000,154.9292792660,32.8542442322
2022-08-02 15:00:00,10.0423577931,5.1718750000,-0.0020045606,-4.8724873537,22979.5000000000,176.2449872230,24.4500694275
2022-08-02 16:00:00,10.0595810581,5.3281250000,0.0172232650,-4.7142327931,23378.7100000000,206.0512656073,17.3476371765
2022-08-02 17:00:00,10.0513401553,5.4843750000,-0.0082409028,-4.5752060581,23186.8400000000,240.8983354781,14.5692224503
