DATE,ret_true,sigma_lstm_wf,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2022-01-03,0.005762497,0.006321126,0.006186043,8.195933,-0.010188535932186937,-0.015828744383181267,0,0
2022-01-04,-0.00036571667,0.006168395,0.0064620697,8.265491,-0.009945291451084902,-0.015437143082387852,0,0
2022-01-05,-0.019363783,0.006157892,0.008638585,8.160969,-0.009923932080328018,-0.015424634771743002,1,1
2022-01-06,-0.0010660982,0.006599385,0.0080839,7.2326293,-0.010583529452502963,-0.01667856371281986,0,0
2022-01-07,-0.0042222342,0.0072995774,0.0069747576,7.123908,-0.011698134396036694,-0.018469798014679954,0,0
2022-01-10,-0.0011789927,0.0075595872,0.016614271,6.9758267,-0.012102412807787557,-0.01915918340712803,0,0
2022-01-11,0.0091276085,0.008820004,0.010839752,7.0404606,-0.01412669644082406,-0.022337409760274107,0,0
2022-01-12,0.0023882193,0.0091666095,0.006471696,7.342129,-0.014710638079540761,-0.023140022108910967,0,0
2022-01-13,-0.013716757,0.008738823,0.0109671,7.363493,-0.014025933942722663,-0.022055243794485726,0,0
2022-01-14,0.00059096894,0.008922976,0.009303108,7.451891,-0.01432897391842273,-0.022499653896293062,0,0
2022-01-18,-0.018101513,0.009012451,0.0114238085,7.3444724,-0.014463449358647936,-0.022750314144058356,1,0
2022-01-19,-0.010334873,0.009459832,0.011109728,6.668181,-0.015108710985771795,-0.0240617703387933,0,0
2022-01-20,-0.011001334,0.010178267,0.023462562,7.0754256,-0.016306109303513117,-0.02576733515517712,0,0
2022-01-21,-0.019121258,0.012896039,0.01424319,7.57697,-0.020723731319887702,-0.03247730308528114,0,0
2022-01-24,0.0031272236,0.013794729,0.035095066,8.206373,-0.0222356559326631,-0.034540318788491176,0,0
2022-01-25,-0.012510517,0.019153573,0.019793717,9.107139,-0.03097519633686334,-0.04762277903731387,0,0
2022-01-26,-0.0017260232,0.019178582,0.024141645,10.302752,-0.0310906791628791,-0.0474092759402702,0,0
2022-01-27,-0.0054854774,0.01982471,0.025549112,10.049522,-0.03213812509019518,-0.04900649588971186,0,0
2022-01-28,0.024140287,0.020100731,0.023705536,10.184022,-0.03258558653619862,-0.04968881688550206,0,0
2022-01-31,0.018146675,0.019340796,0.013839379,8.905646,-0.03125770843006722,-0.04815842204475393,0,0
2022-02-01,0.006803688,0.016955487,0.011266878,8.660896,-0.027379407416362307,-0.042297362108716104,0,0
2022-02-02,0.009273297,0.014620344,0.007077817,8.770387,-0.023617848345624803,-0.036441425985026095,0,0
2022-02-03,-0.02393371,0.012156465,0.008441929,8.397188,-0.019610381683667057,-0.03038962774853016,1,0
2022-02-04,0.0052446695,0.011208176,0.014395354,8.371882,-0.018078804744064005,-0.028024867461370936,0,0
