model,split,RMSE,MAE,Corr
LSTM_Base_Train,train,0.0042574689723386,0.002748303348198533,0.8214876651763916
LSTM_Frozen_Test,frozen,0.0043534811588186685,0.002821098081767559,0.7005510926246643
LSTM_WF_B_Test,wf,0.0043554171342100635,0.0029029829893261194,0.6986047029495239
