DATE,ret_true,sigma_lstm,gk_vol_actual,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2006-01-31,-0.0038880298,0.0052490314,0.006194141,17.728073,-0.008509280699570057,-0.012975555619923435,0,0
2006-02-01,0.0029174385,0.005297244,0.0044153407,17.946579,-0.008587439513442903,-0.013094737730891474,0,0
2006-02-02,-0.011917695,0.0052364855,0.005867443,17.926205,-0.008488942156746613,-0.012944541965191477,1,0
2006-02-03,-0.005123164,0.005325787,0.00655859,17.729158,-0.008633709740565886,-0.013165293859755704,0,0
2006-02-06,0.0025648628,0.0054722102,0.003315056,19.069603,-0.00887107939011864,-0.013527251961620777,0,0
2006-02-07,-0.00890654,0.0053343023,0.005668721,19.36034,-0.008647514933733912,-0.013186344998873084,1,0
2006-02-08,0.008512374,0.0054097553,0.005785326,19.915745,-0.008769832304294673,-0.013372863213635249,0,0
2006-02-09,-0.0019731657,0.0054728608,0.006863358,22.991804,-0.008872133537350214,-0.013528859400194942,0,0
2006-02-10,0.0019731657,0.0056091947,0.008875409,19.696024,-0.00909314660295748,-0.01386587582106137,0,0
2006-02-13,-0.0019731657,0.0058899634,0.0047353297,19.957966,-0.009548305264935263,-0.014559934078497988,0,0
2006-02-14,0.009827123,0.0057716407,0.008271707,19.419785,-0.009356490136458754,-0.014267440746080896,0,0
2006-02-15,0.0031243924,0.005925,0.0057668854,23.333517,-0.009605103460486316,-0.014646544001416762,0,0
2006-02-16,0.0073815407,0.0058367415,0.004417031,20.801151,-0.009462026394605269,-0.01442836992868124,0,0
2006-02-17,-0.0021311643,0.0056189983,0.003162011,24.050217,-0.009109039834757143,-0.013890110949796431,0,0
2006-02-20,-0.00019396761,0.0053289714,0.0017676872,21.837118,-0.008638872445622364,-0.013173166319129735,0,0
2006-02-21,-0.0027195043,0.0050118123,0.006000768,19.505371,-0.008124721206346455,-0.012389151989620756,0,0
2006-02-22,0.005431633,0.005080507,0.005962494,18.03067,-0.008236083548031447,-0.012558965198223868,0,0
