DATE,ret_true,sigma_lstm,gk_vol_actual,garch_pred,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2006-01-31,-0.0038880298,0.004765329,0.006194141,0.0062000663,17.728073,-0.007725143702043082,-0.011779847829303117,0,0
2006-02-01,0.0029174385,0.0053251507,0.0044153407,0.0061715334,17.946579,-0.008632679225137743,-0.013163722456633963,0,0
2006-02-02,-0.011917695,0.005431997,0.005867443,0.0061345794,17.926205,-0.008805889372370992,-0.013427845592150427,1,0
2006-02-03,-0.005123164,0.0056552123,0.00655859,0.00624159,17.729158,-0.00916774629843517,-0.01397963073549838,0,0
2006-02-06,0.0025648628,0.0062143304,0.003315056,0.0062239137,19.069603,-0.010074140743021352,-0.015361765365269363,0,0
2006-02-07,-0.00890654,0.0052419864,0.005668721,0.0061842497,19.36034,-0.008497859786569525,-0.01295814020055947,1,0
2006-02-08,0.008512374,0.0054449793,0.005785326,0.006228567,19.915745,-0.008826935181311377,-0.013459937736494194,0,0
2006-02-09,-0.0019731657,0.005931322,0.006863358,0.0062568043,22.991804,-0.009615352067238124,-0.014662171804944448,0,0
2006-02-10,0.0019731657,0.006382543,0.008875409,0.006227384,19.696024,-0.010346833186758135,-0.015777586172663605,0,0
2006-02-13,-0.0019731657,0.0073216353,0.0047353297,0.0061849537,19.957966,-0.011869209155593126,-0.018099013183415683,0,0
2006-02-14,0.009827123,0.006477151,0.008271707,0.0061441795,19.419785,-0.010500203591018912,-0.01601145625889033,0,0
2006-02-15,0.0031243924,0.0069659017,0.0057668854,0.00619481,23.333517,-0.011292523944476508,-0.017219642611892634,0,0
2006-02-16,0.0073815407,0.0068349615,0.004417031,0.006168093,20.801151,-0.011080255490131327,-0.016895960595403242,0,0
2006-02-17,-0.0021311643,0.005908992,0.003162011,0.006178958,24.050217,-0.009579153208341224,-0.014606973213714732,0,0
2006-02-20,-0.00019396761,0.0049604154,0.0017676872,0.0061714714,21.837118,-0.008041401375403092,-0.012262099993239574,0,0
2006-02-21,-0.0027195043,0.0038224086,0.006000768,0.006131803,19.505371,-0.006196561852828774,-0.009448957651348613,0,0
2006-02-22,0.005431633,0.0046955445,0.005962494,0.006100938,18.03067,-0.007612014883051697,-0.011607340970631368,0,0
2006-02-23,-0.001548887,0.0056214603,0.005112513,0.006103501,16.862356,-0.009113031077557876,-0.013896197080314624,0,0
2006-02-24,0.0021291017,0.00557582,0.0037004733,0.0060678185,15.542676,-0.009039042432997448,-0.01378337393971884,0,0
2006-02-27,0.0007730963,0.005043573,0.0042014886,0.006029737,14.943083,-0.008176209842062574,-0.012467665518568299,0,0
2006-02-28,-0.008926898,0.004943235,0.005978134,0.0055920454,24.785446,-0.008013549607074864,-0.012219629638597917,1,0
2006-03-01,0.0073801074,0.0055617467,0.004350633,0.0060179136,17.118721,-0.00901622845876471,-0.01374858557134555,0,0
2006-03-02,-0.0003870718,0.0054189637,0.004799896,0.006056508,16.593573,-0.008784760852118602,-0.013395627323723177,0,0
2006-03-03,-0.0038789809,0.0053386195,0.0101362085,0.006007591,16.649792,-0.008654513323521114,-0.013197016640712133,0,0
2006-03-06,-0.0054559764,0.006885751,0.007478825,0.005979744,16.763956,-0.011162591225260426,-0.017021511972587087,0,0
2006-03-07,-0.0015643336,0.0074238526,0.0041845385,0.006001841,15.676169,-0.012034915361244368,-0.01835169377580733,0,0
2006-03-08,0.0015643336,0.006098698,0.0071579963,0.005789024,27.98411,-0.00988668737026364,-0.015075923147785244,0,0
2006-03-09,-0.005878912,0.0064645004,0.0056314743,0.0056642042,23.574404,-0.01047969540560656,-0.01598018392108919,0,0
2006-03-10,0.008610621,0.0064936033,0.00586533,0.0057814107,24.286293,-0.010526874613168619,-0.01605212612789127,0,0
2006-03-13,0.0019466621,0.0063178954,0.0030571418,0.0059467875,15.876915,-0.010242032046496891,-0.015617777950029714,0,0
2006-03-14,0.017924735,0.005158331,0.007027798,0.0059216013,14.298825,-0.008362244462621505,-0.01275134432192658,0,0
2006-03-15,0.0041936776,0.0057808147,0.0048785135,0.006122276,12.203526,-0.00937136213675305,-0.014290118628479098,0,0
2006-03-16,0.0019004187,0.005877088,0.0052115903,0.006094912,12.530215,-0.009527432474555704,-0.014528105765145174,0,0
2006-03-17,0.00056942203,0.0056907786,0.0031848405,0.0060524074,12.357886,-0.0092254036788395,-0.01406755080450883,0,0
2006-03-20,-0.0015191799,0.0049361642,0.0039137644,0.006026636,11.2104,-0.008002087338418328,-0.01220215115719221,0,0
2006-03-21,-0.0060999044,0.004736436,0.0077910703,0.005975704,11.351616,-0.007678305467644799,-0.011708425562600287,0,0
2006-03-22,0.0053394483,0.0059144613,0.0050038276,0.0059700636,12.0956745,-0.009588019354592376,-0.01462049294327566,0,0
2006-03-23,-0.0020942416,0.0059335,0.004640083,0.005955002,12.716464,-0.009618882489871972,-0.014667555244140389,0,0
2006-03-24,0.0007620499,0.005507792,0.004692466,0.0059188846,12.107615,-0.00892876124631938,-0.013615209353064091,0,0
2006-03-27,-0.0013339687,0.005435511,0.003514917,0.00590199,11.206159,-0.008811585480990605,-0.013436531423164868,0,0
2006-03-28,-0.0065047103,0.004949603,0.0072512547,0.005849848,11.289272,-0.008023873329201861,-0.01223537198338509,0,0
2006-03-29,0.005741643,0.0057960674,0.0067643947,0.0058608344,11.5287075,-0.009396088599077658,-0.014327823294537783,0,0
2006-03-30,-0.0019102202,0.006499811,0.0076839905,0.0058520534,12.152747,-0.010536937541464906,-0.016067470795721343,0,0
2006-03-31,0.0,0.006947206,0.0048667737,0.0058092414,11.87833,-0.011262216156577519,-0.01717342714415985,0,0
2006-04-03,-0.0013393286,0.0063143047,0.007391737,0.0057569505,11.711157,-0.01023621102691629,-0.015608901645909607,0,0
2006-04-04,0.006868945,0.00667206,0.0063204644,0.005710485,11.359822,-0.010816173462772864,-0.01649326956249549,0,0
