model,split,RMSE,MAE,Corr
LSTM_Base_Train,train,0.0046098988827439884,0.002800960559397936,0.8131404519081116
LSTM_Frozen_Test,frozen,0.004553230909807942,0.00287914602085948,0.6842086315155029
LSTM_WF_B_Test,wf,0.004516861117160745,0.0029068742878735065,0.673900306224823
