var1,var2,n,mean_diff,std_diff,mae,rmse,corr_pearson,corr_spearman
sma_vol_20,sma_vol_10,5072,0.00047396831847040745,0.002673426729481267,0.001775129940375738,0.00271485677237083,0.9282696273057209,0.8895146670874953
sma_vol_20,ewma_vol,5072,-0.0004721269145411356,0.0016219680295991295,0.0010988603044447941,0.0016891315595625813,0.9722447646817122,0.9552812928125562
sma_vol_20,gk_vol_daily,5072,0.0005520079472191492,0.005186271790819011,0.0033252414152357525,0.00521505750149712,0.7285418213089219,0.6775465884582365
sma_vol_20,gk_vol_20,5072,-0.0001518747693126358,0.0017627526157504903,0.0012508297946426275,0.001769109971853176,0.9707525478416881,0.9378735160467777
sma_vol_20,gk_vol_10,5072,3.365811127480375e-06,0.0026844183792852565,0.0017377033420838558,0.0026841558453798414,0.9216799130220116,0.8867482903897334
sma_vol_20,gk_vol_5,5072,0.00014212089162052974,0.003657488616474748,0.0023051348664882634,0.0036598885040911933,0.8543984305972806,0.8174887395765437
sma_vol_20,rs_vol_daily,5072,0.0006673564909158577,0.005595057258789805,0.0035411909872515193,0.005634168825972301,0.6876251717639335,0.6436571018138635
sma_vol_20,rs_vol_20,5072,-0.00014213865897611834,0.002097349089047745,0.0014571824675989624,0.0021019536897798467,0.9563818441758593,0.9132919272473038
sma_vol_20,rs_vol_10,5072,2.4678544550550394e-05,0.002937538881433956,0.0018972376184430654,0.0029373529550740032,0.9054528304828645,0.8634750383390637
sma_vol_20,rs_vol_5,5072,0.00018312921479425053,0.003919742422916805,0.0024623835337876485,0.003923631954766216,0.8322335914635457,0.7933035660439457
sma_vol_20,yz_vol_20,5072,-0.00029082981466990135,0.0017971787605938357,0.001274362516993724,0.0018203836623790063,0.9683993130126861,0.9356100438147481
sma_vol_20,yz_vol_10,5072,-9.183329791377384e-05,0.002748381436340242,0.0017805343625257562,0.002749644449683449,0.9178151928448604,0.881435695675799
sma_vol_20,yz_vol_5,5072,0.00012564570244835853,0.003753519295701525,0.002369854174079157,0.0037552518110478927,0.8471284548962543,0.8075732605905608
sma_vol_20,garch_vol,5072,-0.000665420894084883,0.0026494590104699815,0.0017552592865687261,0.002731489340523451,0.9264860934098751,0.9001179862342903
sma_vol_20,sma_vol_20_predict,5072,2.212725621958272e-07,0.0008040203851739042,0.0003882763629427304,0.000803941151033037,0.9932492480769548,0.987842187818589
sma_vol_20,sma_vol_10_predict,5072,0.0004745077127977767,0.002532206020953885,0.001698093377890579,0.002576035848586107,0.9357051300431487,0.8977241294577746
sma_vol_20,sma_vol_5_predict,5072,0.0013306623652388826,0.004159037376934324,0.0029166570247185913,0.004366330704894185,0.8296761967691133,0.758472322819769
sma_vol_10,ewma_vol,5072,-0.0009460952330115432,0.00276956221009572,0.0019927130877973242,0.0029264413043701555,0.9218925770698833,0.8825678319048499
sma_vol_10,gk_vol_daily,5072,7.803962874874166e-05,0.004796296751778919,0.0030828009343031597,0.004796458811939096,0.7748095944546658,0.7036885765281131
sma_vol_10,gk_vol_20,5072,-0.0006258430877830434,0.003197520637902988,0.002265326140753926,0.0032578830550247196,0.8951560861315246,0.8295274840315026
sma_vol_10,gk_vol_10,5072,-0.0004706025073429272,0.0023212705310477985,0.0016866442536759764,0.0023682696714809495,0.9474354954504188,0.9014055489726298
sma_vol_10,gk_vol_5,5072,-0.00033184742684987784,0.003029402302930432,0.0020109288158575837,0.0030472268749485655,0.9058641508494898,0.8563118001235197
sma_vol_10,rs_vol_daily,5072,0.00019338817244545013,0.005303057454205018,0.003354798515766572,0.005306059998435445,0.7275972055668549,0.6573265245363921
sma_vol_10,rs_vol_20,5072,-0.0006161069774465258,0.0034012875752214436,0.0023921036320197885,0.0034563078668764617,0.880119584096974,0.8084915529333502
sma_vol_10,rs_vol_10,5072,-0.00044928977391985714,0.0027421620620639445,0.0019352372297358944,0.0027784584815362862,0.924323373543931,0.8660975893274881
sma_vol_10,rs_vol_5,5072,-0.00029083910367615695,0.0034288711145721885,0.0022582751437796975,0.0034408467639655102,0.8783244518358374,0.8195078020638347
