DATE,ES1_LN_RET,ES1_CLOSE,sma_var_20,sma_vol_20,sma_vol_20_predict,sma_var_10,sma_vol_10,sma_vol_10_predict,sma_var_5,sma_vol_5,sma_vol_5_predict,ewma_var,ewma_vol,gk_var_daily,gk_vol_daily,gk_var_20,gk_vol_20,gk_var_10,gk_vol_10,gk_var_5,gk_vol_5,rs_var_daily,rs_vol_daily,rs_var_20,rs_vol_20,rs_var_10,rs_vol_10,rs_var_5,rs_vol_5,yz_vo_20,yz_vc_20,yz_vrs_20,yz_var_20,yz_vol_20,yz_vol_10,yz_vol_5,garch_var,garch_vol,shape
2005-06-01,0.007520403106168416,1201.25,3.625370391133162e-05,0.006021104874633195,0.0058638141846867825,2.1870198452891157e-05,0.004676558398319341,0.004624185818865203,2.384556149443992e-05,0.004883191732303773,0.003811811917704539,4.6905770169958935e-05,0.006848778735654915,6.019099790621378e-05,0.007758285758220935,4.270317921275884e-05,0.006534766959330596,2.611636815020885e-05,0.005110417610157594,2.486258493478794e-05,0.004986239558503777,6.270899175777647e-05,0.007918900918547755,4.29825831936542e-05,0.006556110370765139,2.5649400016739037e-05,0.005064523671258634,2.5935548142687214e-05,0.005092695567446302,2.1788251421445527e-07,3.5343264246598144e-05,4.29825831936542e-05,4.2138261652810924e-05,0.006491399052038853,0.005021357802618351,0.005072036036562191,4.62362160709785e-05,0.0067997217642326,99.998746276321
2005-06-02,0.0033243330012293626,1205.25,3.431362332471308e-05,0.005857783140806178,0.006021104874633198,1.588862784593255e-05,0.003986054169969664,0.004676558398319332,2.288112946957483e-05,0.004783422359521981,0.004883191732303769,4.475449535394516e-05,0.006689880070221375,1.4435229760054395e-05,0.003799372285003721,4.0589768384288116e-05,0.006371009997189466,2.0714768167760736e-05,0.004551347950636244,2.3780823757014447e-05,0.004876558597721804,1.5505144963065252e-05,0.003937657293755419,4.129207263801933e-05,0.006425890805018346,2.1480539783292402e-05,0.004634710323557709,2.347073851425957e-05,0.004844660825512924,2.1769930580643764e-07,3.322193534628251e-05,4.129207263801933e-05,4.038766503670954e-05,0.006355129033836334,0.004557870750576022,0.004828052218985942,4.665747802309513e-05,0.0068306279376859,97.187136872497
2005-06-03,-0.005616239411292412,1198.5,3.649647911505225e-05,0.006041231589258291,0.00585778314080618,1.9635047263697243e-05,0.0044311451413485935,0.003986054169969655,2.9471919388358078e-05,0.0054288046003110185,0.004783422359521976,4.39617543402057e-05,0.006630366078898336,4.0728979923230336e-05,0.006381926035549952,3.979429573441018e-05,0.006308272008593969,2.3351547787142253e-05,0.00483234392268827,2.8663976006261365e-05,0.005353874859040073,3.849098131383811e-05,0.006204110033988607,4.021898513383947e-05,0.006341843985296348,2.4056388738417604e-05,0.004904731260570512,2.822044190333784e-05,0.005312291586814286,2.1764057032140065e-07,3.52357612210255e-05,4.021898513383947e-05,3.974373662803564e-05,0.006304263369184035,0.004846463008872007,0.005308298474196265,4.6287650901422265e-05,0.0068035028405537,99.98636361603428
2005-06-06,-0.00041727519904455335,1198.0,3.569977420182437e-05,0.005974928803075763,0.006041231589258293,1.952887117368076e-05,0.004419148240745128,0.004431145141348584,2.866872553866097e-05,0.005354318400941522,0.005428804600311017,4.133449619529762e-05,0.006429190944068905,1.4745512719802731e-05,0.0038399886353741638,3.839440512847834e-05,0.0061963219032324605,2.3137090913810672e-05,0.0048101030044907225,3.0474724601423527e-05,0.005520391707245377,1.9669458901685218e-05,0.0044350263698973895,3.8096621145196864e-05,0.006172246037318738,2.4077979315243306e-05,0.0049069317618287,3.0882132948954803e-05,0.005557169508747669,2.108424451612838e-07,3.4581531339818084e-05,3.8096621145196864e-05,3.78187102510825e-05,0.00614969188261351,0.004844352368402675,0.005516546413799921,4.62632445778446e-05,0.0068017089453934,95.75509175275737
2005-06-07,0.0008343763521194703,1199.0,3.447220095465582e-05,0.005871303173457816,0.005974928803075766,1.7438606856584476e-05,0.004175955801560222,0.004419148240745119,1.872910907621284e-05,0.004327714070524165,0.00535431840094152,3.8896197457398334e-05,0.006236681606222843,5.152361641936097e-05,0.007177995292514545,3.9341561732698444e-05,0.006272285208175601,2.5776427580166598e-05,0.005077049101610757,3.632486734573244e-05,0.0060270114771528716,8.764090234763544e-05,0.00936167198462088,4.098569837329429e-05,0.0064020073706060575,3.0516880527446655e-05,0.00552420858833613,4.48030958568001e-05,0.006693511474316011,1.512770017350798e-07,3.3836077053429886e-05,4.098569837329429e-05,4.0142861002960405e-05,0.006335839407920659,0.005367344714172394,0.00644608282909703,4.5811582897405e-05,0.0067684254370869,99.99779144774436
2005-06-08,-0.0025052205169373565,1196.0,2.872207105446004e-05,0.005359297626971285,0.00587130317345782,1.7645819522151233e-05,0.0042006927431259755,0.004175955801560213,9.180568439832804e-06,0.003029945286607137,0.004327714070524162,3.693899340026346e-05,0.006077745749886504,3.196484594529309e-05,0.0056537461868475395,3.886160305597685e-05,0.006233907527063331,2.7771110944168124e-05,0.005269830257623876,3.06796369535483e-05,0.005538920197434541,3.2171692555850505e-05,0.005672009569442783,4.0996442673448135e-05,0.00640284645087231,3.2315592079551055e-05,0.005684680472951057,3.869563601641492e-05,0.006220581646149733,1.54420748393616e-07,2.8127560799435112e-05,4.0996442673448135e-05,3.936151824521403e-05,0.00627387585510058,0.005515885011266999,0.005927297754782612,4.5339817199036834e-05,0.006733484773803,99.9032460796043
2005-06-09,0.004171887569406785,1201.0,2.8308264696341032e-05,0.005320551164714144,0.005359297626971288,1.880751239921568e-05,0.004336762894050778,0.004200692743125965,1.0719510556006947e-05,0.00327406636401997,0.003029945286607135,3.5766932549753906e-05,0.005980546174870143,3.873730827788633e-05,0.006223930291856291,3.697554198464258e-05,0.006080751761471815,2.966043820706457e-05,0.005446139752803316,3.554005265711469e-05,0.005961547840713407,3.9233150047768707e-05,0.0062636371261247815,3.840118738758517e-05,0.006196869160115063,3.345598777380758e-05,0.005784115124529212,4.34412370333556e-05,0.006590996664644551,1.5432980657979373e-07,2.7691782555331875e-05,3.840118738758517e-05,3.706643507586199e-05,0.006088221010760203,0.005610170140016303,0.006290936963874293,4.5034984411048706e-05,0.0067108110099338,63.49099080041485
2005-06-10,-0.0016666670524694283,1199.0,2.0589286774517838e-05,0.0045375419308826045,0.005320551164714147,1.7465365955319623e-05,0.004179158522396539,0.004336762894050768,5.458812521675256e-06,0.002336410178388045,0.0032740663640199678,3.3787583340595894e-05,0.005812708778237208,4.301057152992086e-05,0.006558244546364588,3.6285543473514736e-05,0.006023748291015714,3.233017349235708e-05,0.0056859628465508886,3.59963709784528e-05,0.005999697573915938,4.7652165500260994e-05,0.006903054794818088,3.8510936137113014e-05,0.006205718019465034,3.6746957886989004e-05,0.00606192691204612,4.527347387064018e-05,0.006728556596376387,1.4653027502039162e-07,2.0481827875705143e-05,3.8510936137113014e-05,3.615062096726266e-05,0.0060125386458020095,0.005841958017915828,0.006371499748770829,4.484599822293515e-05,0.0066967154802138,93.97131378812314
2005-06-13,0.0029148469524020726,1202.5,1.9861407981467344e-05,0.004456613959214702,0.004537541930882608,1.793480926430666e-05,0.004234950916398756,0.0041791585223965285,6.567947273902411e-06,0.002562800669951218,0.00233641017838804,3.2270108305515795e-05,0.005680678507495015,5.088205514035121e-05,0.007133165856781349,3.243008676571674e-05,0.005694742028021703,3.6849202031993015e-05,0.0060703543580249925,4.3223679462562484e-05,0.006574471801031812,4.999257321325072e-05,0.007070542639235742,3.422863005821894e-05,0.005850523913139655,4.111011484095403e-05,0.00641171699632431,5.133809673295328e-05,0.007165060832467041,1.0579514694245956e-07,1.9349818333357682e-05,3.422863005821894e-05,3.2265610660550904e-05,0.005680282621538378,0.006162335117544226,0.006787088242127244,4.453450105936216e-05,0.0066734174947595,88.52890122110176
2005-06-14,0.006217636610870159,1210.0,1.8391109214037818e-05,0.004288485655104587,0.004456613959214706,1.517948239474932e-05,0.0038960855220014513,0.004234950916398746,1.1386688273622961e-05,0.0033744167308770506,0.0025628006699512126,3.2653442108674825e-05,0.005714319041554718,2.1268146524295142e-05,0.004611740075534954,3.186354272111857e-05,0.005644780130449598,3.6748726414640883e-05,0.006062072782030985,3.717258548354933e-05,0.006096932465063831,2.1436373244708567e-05,0.0046299431146298725,3.408337590845996e-05,0.005838096942365719,4.1450143384583996e-05,0.006438178576630505,3.809719091236791e-05,0.006172292192724508,8.68815115730134e-07,1.692096129529534e-05,3.408337590845996e-05,3.256585442494249e-05,0.00570665001773742,0.006247050829018981,0.006077937187161694,4.398787909453407e-05,0.0066323358701542,99.60888458582386
2005-06-15,0.001445236134698824,1211.75,1.6948914433996133e-05,0.004116905929699649,0.00428848565510459,1.1159216559986536e-05,0.0033405413573231713,0.003896085522001441,7.038761057596816e-06,0.0026530663500178085,0.003374416730877045,3.0819558031256685e-05,0.005551536546872108,3.848531046523847e-05,0.006203652993619039,3.0347262910376107e-05,0.005508834986671511,3.457815767054335e-05,0.005880319521126666,3.84766783875384e-05,0.006202957229220462,4.3038320819504857e-05,0.0065603598086922685,3.2566238153747936e-05,0.005706683638835076,3.9483076290756835e-05,0.006283556022727643,4.027051656509878e-05,0.0063459054960737305,8.736175170166297e-07,1.540665611563422e-05,3.2566238153747936e-05,3.10539129250432e-05,0.005572603783245603,0.006066117612685474,0.006209591735788298,4.389024219639246e-05,0.0066249711090987,99.99599494459312
