,count,mean,std,min,q01,q05,q25,q50,q75,q95,q99,max,skew,kurt
sma_vol_20,5072.0,0.009781324644781677,0.006919466564928925,0.0018210335821133242,0.0029174272234439003,0.003791934814234614,0.005670077878865545,0.008143107906036041,0.011656136034548155,0.01985297678660976,0.04661794603299625,0.058548275159240895,3.3219389453917003,15.775472836378137
sma_vol_10,5072.0,0.00930735632631127,0.0071475616493753245,0.0010208485388149271,0.002159907693997558,0.003155203156995805,0.00502178802792913,0.007545131954495906,0.011262970150799488,0.020632307126595213,0.040944666464608766,0.06598185620237684,3.450698171611971,17.853689719213772
sma_vol_5,5072.0,0.008450643556539992,0.007282583369302765,0.0005083693995999799,0.0011942953881297193,0.0021827318092881133,0.004139948086917003,0.0066217657335872,0.010345386716005177,0.019646074016448915,0.041080261740138395,0.08111376701664813,3.7433476806126187,22.7590736589659
ewma_vol,5072.0,0.010253451559322814,0.006628030834538785,0.0026647918284921435,0.0035679541300082974,0.0043574570178018185,0.006419799713718671,0.008390030640406408,0.011986865998939873,0.02147160312350617,0.04558005257813837,0.05466832570909197,3.0872018247467437,13.00863114601462
gk_vol_daily,5072.0,0.009229316697562528,0.007146185190789992,0.0012040794634830502,0.0022505321025200462,0.003086242075219195,0.005002305740648157,0.007333722067062306,0.010998017300547534,0.021174361813877895,0.03846587023922921,0.0828800118147816,3.459864061061212,18.853518734245217
gk_vol_20,5072.0,0.009933199414094315,0.006127535228190153,0.0026713041725256992,0.003884549679526029,0.004660679519848352,0.006270795195405705,0.008113723070323662,0.011663824011670772,0.02001578229240521,0.03958283147303517,0.052849856014195326,3.0008784670813937,12.848145130461754
gk_vol_10,5072.0,0.0097779588336542,0.006373531260242659,0.0022022875413294143,0.003551742104989222,0.004411879204556236,0.0059410060933719295,0.007907509962592863,0.011364117185209539,0.020309579011010773,0.03903378101990768,0.058753443072421224,3.176819306962012,14.956201264271526
gk_vol_5,5072.0,0.009639203753161149,0.006582599893227309,0.0017056778355634648,0.003077119003673225,0.003982925720016455,0.005721653823278141,0.007795025360906777,0.011258793191153426,0.0206968663192314,0.038429451575188255,0.0625325452252894,3.3000907006654816,16.41599238920027
rs_vol_daily,5072.0,0.00911396815386582,0.007220560315588948,0.0009790013020259498,0.0020572308291144166,0.0029770513938573175,0.004898693842336882,0.007215216347291543,0.01082433009754162,0.020884968769921027,0.03931476444061413,0.0852688244759685,3.624744645273972,21.073528261817078
rs_vol_20,5072.0,0.009923463303757797,0.006058030697020611,0.002710036562634936,0.003953344457487202,0.004712041609550282,0.006234381544206434,0.00811838540944664,0.011590901655702802,0.02041698538280438,0.03799984459012056,0.05212330113446522,2.905944983707645,12.077942282325616
rs_vol_10,5072.0,0.009756646100231126,0.006324259486318807,0.002183116911223679,0.0035856116828516396,0.0044234641872248045,0.005969747027549576,0.007859039318716532,0.011302975365844008,0.02020001728862552,0.03720772525547027,0.05816596743855493,3.1040112528884234,14.347662050799544
rs_vol_5,5072.0,0.009598195429987426,0.006562963903155712,0.0017261621477365156,0.003128343937317458,0.003986414246600831,0.005685240679810123,0.007729594467507064,0.011256549020196955,0.02063172751079675,0.03774161908186265,0.06758508946453591,3.273011862843508,16.238283062433137
yz_vol_20,5072.0,0.010072154459451579,0.006199165406810929,0.002635494993993555,0.00399998048950008,0.004689069605487901,0.006343524302154928,0.008261678950801578,0.01173152519681326,0.02056696015972137,0.039349049098963744,0.05274884911408258,2.9734144776936606,12.61122192864535
yz_vol_10,5072.0,0.009873157942695452,0.006435267316336358,0.0021594422878792444,0.0035695052975343207,0.004439802381582865,0.006032306828566515,0.008044885072713986,0.011434408925128835,0.020367695150033012,0.038965743207808615,0.05997396235739348,3.14889122745066,14.699750966343474
yz_vol_5,5072.0,0.00965567894233332,0.006616095368733402,0.0016666293650467422,0.0030969634397685895,0.003952270235865218,0.005717604373994557,0.007793169386961295,0.011303326090406842,0.020894709663262765,0.03850639150425818,0.06477679104471391,3.2861201451148996,16.271150441872027
garch_vol,5072.0,0.010446745538866561,0.00689950020799456,0.0033526825395829,0.0038243457952020577,0.00490324236523861,0.0066813052320306,0.0083308045197119,0.012209360867722126,0.02103733716387325,0.04421309620954585,0.0892372483382841,3.817305396010791,22.057384935810457
sma_vol_20_predict,5072.0,0.009781103372219482,0.006919573912409336,0.0018210335821131098,0.0029174272234437837,0.0037919348142345004,0.005670077878865489,0.008143107906036003,0.01165613603454812,0.01985297678660975,0.046617946032996245,0.058548275159240895,3.32185751861461,15.774747910619615
sma_vol_10_predict,5072.0,0.0093068169319839,0.007147811862225868,0.0010208485388153595,0.0021599076939977867,0.003155203156995931,0.0050195956372247625,0.007545131954495978,0.011262970150799495,0.020632307126595233,0.04094466646460878,0.06598185620237684,3.4505107857408666,17.851847270863733
sma_vol_5_predict,5072.0,0.008450662279542795,0.007282571318715627,0.0005083693996004573,0.0011942953881297752,0.002182731809288216,0.004139948086916881,0.0066217657335872395,0.010345386716005121,0.01964607401644892,0.04108026174013839,0.08111376701664813,3.7433617431138355,22.759202896480424
