model,split,RMSE,MAE,Corr
LSTM_Base_Train,train,0.005219739285762221,0.0030312896706163883,0.7343106865882874
LSTM_Frozen_Test,frozen,0.00496871549147352,0.0029657797422260046,0.670196533203125
LSTM_WF_B_Test,wf,0.004638971849203597,0.0029496722854673862,0.661663293838501
