DATE,ret_true,sigma_lstm,gk_vol_actual,garch_pred,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2006-01-31,-0.0038880298,0.0043949587,0.006194141,0.0062000663,17.728073,-0.007124731316289753,-0.010864296376566709,0,0
2006-02-01,0.0029174385,0.004456224,0.0044153407,0.0061715334,17.946579,-0.007224049034162255,-0.01101574308725797,0,0
2006-02-02,-0.011917695,0.004461158,0.005867443,0.0061345794,17.926205,-0.007232048399623314,-0.011027941087903231,1,1
2006-02-03,-0.005123164,0.004532172,0.00655859,0.00624159,17.729158,-0.007347169886039636,-0.011203486507402523,0,0
2006-02-06,0.0025648628,0.004549689,0.003315056,0.0062239137,19.069603,-0.007375566873832715,-0.0112467882514108,0,0
2006-02-07,-0.00890654,0.004524304,0.005668721,0.0061842497,19.36034,-0.007334414620138288,-0.011184036371957088,1,0
2006-02-08,0.008512374,0.004680348,0.005785326,0.006228567,19.915745,-0.0075873804159618695,-0.011569776585441045,0,0
2006-02-09,-0.0019731657,0.0046218517,0.006863358,0.0062568043,22.991804,-0.007492551052755109,-0.01142517403674931,0,0
2006-02-10,0.0019731657,0.0045562326,0.008875409,0.006227384,19.696024,-0.007386175021593851,-0.011262964308607498,0,0
2006-02-13,-0.0019731657,0.0045363666,0.0047353297,0.0061849537,19.957966,-0.0073539699374766225,-0.011213855708837305,0,0
2006-02-14,0.009827123,0.004599458,0.008271707,0.0061441795,19.419785,-0.007456248382721713,-0.011369817146925018,0,0
2006-02-15,0.0031243924,0.004570328,0.0057668854,0.00619481,23.333517,-0.007409025287524713,-0.011297808017139867,0,0
2006-02-16,0.0073815407,0.0045799254,0.004417031,0.006168093,20.801151,-0.007424583454111457,-0.011321532214638786,0,0
2006-02-17,-0.0021311643,0.0045010964,0.003162011,0.006178958,24.050217,-0.007296792789077709,-0.011126667931699315,0,0
2006-02-20,-0.00019396761,0.0044467417,0.0017676872,0.0061714714,21.837118,-0.007208677390024012,-0.010992303312437106,0,0
2006-02-21,-0.0027195043,0.004443605,0.006000768,0.006131803,19.505371,-0.0072035923323216615,-0.010984549255263895,0,0
2006-02-22,0.005431633,0.004408154,0.005962494,0.006100938,18.03067,-0.007146122318358812,-0.010896914895911944,0,0
2006-02-23,-0.001548887,0.0043357,0.005112513,0.006103501,16.862356,-0.007028666347360796,-0.010717809688505416,0,0
2006-02-24,0.0021291017,0.004337743,0.0037004733,0.0060678185,15.542676,-0.007031977753816426,-0.010722859156276219,0,0
2006-02-27,0.0007730963,0.004318599,0.0042014886,0.006029737,14.943083,-0.007000943709958453,-0.010675536241871642,0,0
