model,split,RMSE,MAE,Corr
LSTM_Base_Train,train,0.0043839214400804224,0.0027314338367432356,0.815272867679596
LSTM_Frozen_Test,frozen,0.004470658787439381,0.002857103245332837,0.6866788268089294
LSTM_WF_B_Test,wf,0.004478307555870229,0.0028958178590983152,0.6804831027984619
