model,split,RMSE,MAE,Corr
LSTM_Base_Train,train,0.004378905887413924,0.0027252675499767065,0.8167480826377869
LSTM_Frozen_Test,frozen,0.004470744229908309,0.002856425940990448,0.6880612373352051
LSTM_WF_B_Test,wf,0.0044685679895899,0.0028990074060857296,0.6807955503463745
