DATE,ret_true,sigma_lstm,gk_vol_actual,garch_pred,shape,VaR_ret_95,VaR_ret_99,viol_95,viol_99
2006-01-17,-0.00406308,0.004416507,0.0062510627,0.005628338,99.999596,-0.007159664185717188,-0.010917564497130895,0,0
2006-01-18,-0.004469064,0.0051648305,0.0067430134,0.005630328,97.10166,-0.00837278171497235,-0.012767412272766007,0,0
2006-01-19,0.003499226,0.0059179734,0.0064320345,0.0056622336,99.98433,-0.00959371208724007,-0.014629173626368324,0,0
2006-01-20,-0.018410234,0.0060721966,0.007970948,0.0056228214,99.87434,-0.00984372559562086,-0.015010411982260266,1,1
2006-01-23,0.0035517006,0.0067043533,0.004618539,0.0063367644,17.125011,-0.010868523815321197,-0.016573097098476038,0,0
2006-01-24,0.0009843489,0.0059365314,0.004966579,0.006305965,17.359972,-0.009623797060992435,-0.014675049331263975,0,0
2006-01-25,0.00039346842,0.005593006,0.0076571326,0.0062617147,17.002861,-0.009066903485248452,-0.013825858451145378,0,0
2006-01-26,0.0052967262,0.006529602,0.004880028,0.006214021,16.953543,-0.010585232507746054,-0.016141114390669977,0,0
2006-01-27,0.008959935,0.006047926,0.004989259,0.0061984663,18.258686,-0.009804380330895849,-0.014950415527936486,0,0
2006-01-30,-0.00058190286,0.0056391205,0.0027316995,0.0062406976,19.52989,-0.009141660163420355,-0.013939852743944917,0,0
2006-01-31,-0.0038880298,0.004571305,0.006194141,0.0062000663,17.728073,-0.007410608618354524,-0.011300222392452224,0,0
2006-02-01,0.0029174385,0.0052821827,0.0044153407,0.0061715334,17.946579,-0.008563022796541822,-0.013057505386655621,0,0
2006-02-02,-0.011917695,0.0052989037,0.005867443,0.0061345794,17.926205,-0.008590129319069027,-0.013098839337565504,1,0
2006-02-03,-0.005123164,0.0054965676,0.00655859,0.00624159,17.729158,-0.00891056560167125,-0.013587463341678653,0,0
2006-02-06,0.0025648628,0.0060331034,0.003315056,0.0062239137,19.069603,-0.009780351006772426,-0.014913773907724286,0,0
2006-02-07,-0.00890654,0.0049549877,0.005668721,0.0061842497,19.36034,-0.008032601904597331,-0.012248681935133697,1,0
2006-02-08,0.008512374,0.0052687395,0.005785326,0.006228567,19.915745,-0.008541230053814453,-0.013024274264619192,0,0
2006-02-09,-0.0019731657,0.005787614,0.006863358,0.0062568043,22.991804,-0.009382384685067191,-0.014306926593073643,0,0
2006-02-10,0.0019731657,0.006216725,0.008875409,0.006227384,19.696024,-0.010078023110727712,-0.015367685475310321,0,0
2006-02-13,-0.0019731657,0.007143509,0.0047353297,0.0061849537,19.957966,-0.011580446241530954,-0.017658686981393203,0,0
2006-02-14,0.009827123,0.0061508054,0.008271707,0.0061441795,19.419785,-0.009971160095617198,-0.015204733159452501,0,0
2006-02-15,0.0031243924,0.006773356,0.0057668854,0.00619481,23.333517,-0.010980384956857157,-0.016743670912521366,0,0
