model,split,RMSE,MAE,Corr
LSTM_Base_Train,train,0.004350677700926669,0.0027082234155386686,0.8160625696182251
LSTM_Frozen_Test,frozen,0.004496377089086135,0.0028674888890236616,0.6812472939491272
LSTM_WF_B_Test,wf,0.0044998485703774726,0.0029238827992230654,0.6758242845535278
