timestamp,ln_true,ln_pred,ret_true,ret_pred,price_true,price_pred,train_loss
2022-08-01 01:00:00,10.0612943976,10.0620189648,0.0018737547,0.0025983218,23418.8000000000,23435.7746429176,0.0325353071
2022-08-01 02:00:00,10.0613490530,10.0634392082,0.0000546554,0.0021448106,23420.0800000000,23469.0827941684,0.0003681102
2022-08-01 03:00:00,10.0594488779,10.0644958334,-0.0019001752,0.0031467804,23375.6200000000,23493.8939259127,0.0162268225
2022-08-01 04:00:00,10.0601664623,10.0648587794,0.0007175844,0.0054099016,23392.4000000000,23502.4224884964,0.0174700487
2022-08-01 05:00:00,10.0573869151,10.0646586516,-0.0027795472,0.0044921893,23327.4700000000,23497.7194692542,0.0214855857
2022-08-01 06:00:00,10.0529316021,10.0638818541,-0.0044553130,0.0064949391,23223.7700000000,23479.4735886077,0.0288472883
2022-08-01 07:00:00,10.0571545440,10.0623066543,0.0042229419,0.0093750521,23322.0500000000,23442.5178387704,0.0216367356
2022-08-01 08:00:00,10.0556831796,10.0607893138,-0.0014713643,0.0036347698,23287.7600000000,23406.9745304212,0.0009040834
2022-08-01 09:00:00,10.0567132333,10.0598951075,0.0010300536,0.0042119278,23311.7600000000,23386.0532213938,0.0261747744
2022-08-01 10:00:00,10.0448720908,10.0586889771,-0.0118411424,0.0019757438,23037.3500000000,23357.8635949292,0.1123529747
2022-08-01 11:00:00,10.0531046856,10.0553878034,0.0082325948,0.0105157125,23227.7900000000,23280.8823642967,0.0000117605
2022-08-01 12:00:00,10.0493218901,10.0542620989,-0.0037827955,0.0011574132,23140.0900000000,23254.6897159185,0.0004348531
2022-08-01 13:00:00,10.0538380207,10.0532025183,0.0045161306,0.0038806282,23244.8300000000,23230.0625474087,0.0034782770
2022-08-01 14:00:00,10.0620887427,10.0500924275,0.0082507220,-0.0037455932,23437.4100000000,23157.9271756407,0.0666083694
2022-08-01 15:00:00,10.0573551923,10.0484664781,-0.0047335504,-0.0136222646,23326.7300000000,23120.3041530652,0.0839638263
2022-08-01 16:00:00,10.0518618670,10.0499408367,-0.0054933254,-0.0074143556,23198.9400000000,23154.4169139967,0.0170404613
